,道琼斯工业指数
,DJI.GI
日期,收盘价
Date,close
2000-01-04,10997.9400
2000-01-05,11122.6600
2000-01-06,11253.2700
2000-01-07,11522.5600
2000-01-10,11572.2000
2000-01-11,11511.0900
2000-01-12,11551.1100
2000-01-13,11582.4400
2000-01-14,11722.9800
2000-01-17,11722.9800
2000-01-18,11560.7300
2000-01-19,11489.3700
2000-01-20,11351.3000
2000-01-21,11251.7200
2000-01-24,11008.1700
2000-01-25,11029.8900
2000-01-26,11032.9900
2000-01-27,11028.0300
2000-01-28,10738.8800
2000-02-14,10519.8500
2000-02-15,10718.1000
2000-02-16,10561.4200
2000-02-17,10514.5700
2000-02-18,10219.5300
2000-02-21,10219.5300
2000-02-22,10304.8500
2000-02-23,10225.7300
2000-02-24,10092.6400
2000-02-25,9862.1200
2000-02-28,10038.6600
2000-02-29,10128.3100
2000-03-01,10137.9300
2000-03-02,10164.9200
2000-03-03,10367.2000
2000-03-06,10170.5100
2000-03-07,9796.0400
2000-03-08,9856.5400
2000-03-09,10010.7300
2000-03-10,9928.8300
2000-03-13,9947.1300
2000-03-14,9811.2400
2000-03-15,10131.4200
2000-03-16,10630.6100
2000-03-17,10595.2400
2000-03-20,10680.2500
2000-03-21,10907.3500
2000-03-22,10866.7000
2000-03-23,11119.8600
2000-03-24,11112.7300
2000-03-27,11025.8600
2000-03-28,10936.1200
2000-03-29,11018.7200
2000-03-30,10980.2500
2000-03-31,10921.9300
2000-04-03,11221.9400
2000-04-04,11164.8500
2000-04-05,11033.9300
2000-04-06,11114.2800
2000-04-07,11111.4900
2000-04-10,11186.5700
2000-04-11,11287.0900
2000-04-12,11125.1400
2000-04-13,10923.5500
2000-04-14,10305.7800
2000-04-17,10582.5200
2000-04-18,10767.4200
2000-04-19,10674.9700
2000-04-20,10844.0600
2000-04-21,10844.0600
2000-04-24,10906.1000
2000-04-25,11124.8300
2000-04-26,10945.5000
2000-04-27,10888.1100
2000-04-28,10733.9200
2000-05-08,10603.6400
2000-05-09,10536.7500
2000-05-10,10367.7900
2000-05-11,10545.9700
2000-05-12,10609.3700
2000-05-15,10807.7800
2000-05-16,10934.5700
2000-05-17,10769.7400
2000-05-18,10777.2800
2000-05-19,10626.8600
2000-05-22,10542.5500
2000-05-23,10422.2800
2000-05-24,10535.3500
2000-05-25,10323.9200
2000-05-26,10299.2400
2000-05-29,10299.2400
2000-05-30,10527.1400
2000-05-31,10522.3400
2000-06-01,10652.2000
2000-06-02,10794.7600
2000-06-05,10815.3100
2000-06-06,10735.5800
2000-06-07,10812.8700
2000-06-08,10668.7300
2000-06-09,10614.0700
2000-06-12,10564.2100
2000-06-13,10621.8500
2000-06-14,10687.9600
2000-06-15,10714.8300
2000-06-16,10449.3100
2000-06-19,10557.8500
2000-06-20,10435.1700
2000-06-21,10497.7500
2000-06-22,10376.1200
2000-06-23,10404.7600
2000-06-26,10543.0000
2000-06-27,10504.4700
2000-06-28,10527.8000
2000-06-29,10398.0400
2000-06-30,10447.9000
2000-07-03,10560.6800
2000-07-04,10560.6800
2000-07-05,10483.6000
2000-07-06,10481.4800
2000-07-07,10635.9900
2000-07-10,10646.5900
2000-07-11,10727.1900
2000-07-12,10783.4200
2000-07-13,10788.7200
2000-07-14,10812.7500
2000-07-17,10804.2700
2000-07-18,10739.9200
2000-07-19,10696.0800
2000-07-20,10843.8700
2000-07-21,10733.5600
2000-07-24,10685.1200
2000-07-25,10699.9700
2000-07-26,10516.4800
2000-07-27,10586.1300
2000-07-28,10511.1700
2000-07-31,10521.9800
2000-08-01,10606.9500
2000-08-02,10687.5300
2000-08-03,10706.5800
2000-08-04,10767.7500
2000-08-07,10867.0100
2000-08-08,10976.8900
2000-08-09,10905.8300
2000-08-10,10908.7600
2000-08-11,11027.8000
2000-08-14,11176.1400
2000-08-15,11067.0000
2000-08-16,11008.3900
2000-08-17,11055.6400
2000-08-18,11046.4800
2000-08-21,11079.8100
2000-08-22,11139.1500
2000-08-23,11144.6500
2000-08-24,11182.7400
2000-08-25,11192.6300
2000-08-28,11252.8400
2000-08-29,11215.1000
2000-08-30,11103.0100
2000-08-31,11215.1000
2000-09-01,11238.7800
2000-09-04,11238.7800
2000-09-05,11260.6100
2000-09-06,11310.6400
2000-09-07,11259.8700
