,CBOT10年期美国国债
,TY.CBT
日期,收盘价
Date,close
2000-01-04,95.0469
2000-01-05,95.3906
2000-01-06,95.1563
2000-01-07,95.3281
2000-01-10,95.4063
2000-01-11,95.1406
2000-01-12,94.5938
2000-01-13,94.4844
2000-01-14,94.9063
2000-01-17,94.9063
2000-01-18,94.5313
2000-01-19,94.1250
2000-01-20,94.2031
2000-01-21,94.0000
2000-01-24,94.0781
2000-01-25,94.5000
2000-01-26,94.5313
2000-01-27,94.7188
2000-01-28,94.4531
2000-02-14,94.5000
2000-02-15,94.8438
2000-02-16,94.7188
2000-02-17,94.9688
2000-02-18,94.7031
2000-02-21,94.7031
2000-02-22,95.4688
2000-02-23,95.7656
2000-02-24,95.8125
2000-02-25,96.2031
2000-02-28,95.9375
2000-02-29,95.3281
2000-03-01,95.4844
2000-03-02,95.4219
2000-03-03,95.5000
2000-03-06,95.6406
2000-03-07,95.4844
2000-03-08,95.5313
2000-03-09,95.7813
2000-03-10,95.7656
2000-03-13,95.8281
2000-03-14,95.7813
2000-03-15,96.1719
2000-03-16,96.4219
2000-03-17,96.6563
2000-03-20,96.8125
2000-03-21,96.9375
2000-03-22,97.1563
2000-03-23,97.5000
2000-03-24,97.3906
2000-03-27,96.5469
2000-03-28,96.8281
2000-03-29,97.0469
2000-03-30,97.2188
2000-03-31,97.7500
2000-04-03,98.0469
2000-04-04,98.1563
2000-04-05,98.8906
2000-04-06,98.6563
2000-04-07,98.3125
2000-04-10,99.0000
2000-04-11,99.4375
2000-04-12,98.3750
2000-04-13,98.0313
2000-04-14,98.0938
2000-04-17,98.5625
2000-04-18,98.0938
2000-04-19,97.6719
2000-04-20,98.1250
2000-04-21,98.1250
2000-04-24,98.2188
2000-04-25,98.1406
2000-04-26,97.6563
2000-04-27,97.7344
2000-04-28,96.9219
2000-05-08,95.3594
2000-05-09,95.1250
2000-05-10,95.3281
2000-05-11,96.0625
2000-05-12,95.8438
2000-05-15,95.3594
2000-05-16,95.7344
2000-05-17,95.5625
2000-05-18,95.5000
2000-05-19,94.8594
2000-05-22,95.4688
2000-05-23,95.7344
2000-05-24,95.9219
2000-05-25,95.6250
2000-05-26,96.2656
2000-05-29,96.2656
2000-05-30,96.5000
2000-05-31,96.3438
2000-06-01,96.7969
2000-06-02,97.2656
2000-06-05,97.8438
2000-06-06,97.7344
2000-06-07,97.5938
2000-06-08,97.6250
2000-06-09,97.7969
2000-06-12,97.7344
2000-06-13,97.9063
2000-06-14,97.7969
2000-06-15,98.1719
2000-06-16,98.2500
2000-06-19,98.6875
2000-06-20,98.4375
2000-06-21,98.1719
2000-06-22,97.7500
2000-06-23,97.7813
2000-06-26,97.4063
2000-06-27,97.8750
2000-06-28,97.9844
2000-06-29,97.8906
2000-06-30,98.4375
2000-07-03,98.3281
2000-07-04,98.3281
2000-07-05,98.9063
2000-07-06,98.8750
2000-07-07,98.5313
2000-07-10,98.7813
2000-07-11,98.7188
2000-07-12,98.6406
2000-07-13,98.4688
2000-07-14,98.9688
2000-07-17,98.2969
2000-07-18,97.9688
2000-07-19,97.8125
2000-07-20,97.8594
2000-07-21,98.7656
2000-07-24,98.8906
2000-07-25,98.8906
2000-07-26,98.7656
2000-07-27,98.8438
2000-07-28,99.0156
2000-07-31,98.7656
2000-08-01,98.9219
2000-08-02,99.2188
2000-08-03,99.3125
2000-08-04,99.5781
2000-08-07,99.7500
2000-08-08,99.4844
2000-08-09,99.7188
2000-08-10,99.8125
2000-08-11,100.0000
2000-08-14,99.5313
2000-08-15,99.6250
2000-08-16,99.4688
2000-08-17,99.4375
2000-08-18,99.4688
2000-08-21,99.6875
2000-08-22,99.7031
2000-08-23,99.8594
2000-08-24,100.2344
2000-08-25,100.1406
2000-08-28,99.7969
2000-08-29,99.5625
2000-08-30,99.5313
2000-08-31,100.0781
2000-09-01,100.4531
2000-09-04,100.4531
2000-09-05,100.4688
2000-09-06,100.2031
2000-09-07,100.0156
2000-09-08,100.1719
2000-09-11,99.9531
2000-09-12,99.9531
2000-09-13,100.2813
2000-09-14,99.9844
2000-09-15,99.7500
2000-09-18,99.6406
2000-09-19,99.7344
2000-09-20,99.5000
2000-09-21,99.6563
2000-09-22,99.8750
2000-09-25,99.9375
2000-09-26,100.1875
2000-09-27,100.1250
2000-09-28,100.1250
2000-09-29,100.2188
2000-10-09,100.2344
2000-10-10,100.4219
2000-10-11,100.5469
2000-10-12,100.9375
2000-10-13,100.9375
2000-10-16,100.8281
2000-10-17,101.2813
2000-10-18,101.2813
2000-10-19,101.3281
2000-10-20,101.5469
2000-10-23,101.8594
2000-10-24,101.6250
2000-10-25,101.2969
2000-10-26,101.2813
2000-10-27,101.0313
2000-10-30,100.9375
2000-10-31,100.7031
2000-11-01,100.8594
2000-11-02,100.9688
2000-11-03,100.3594
2000-11-06,100.1406
2000-11-07,100.1563
2000-11-08,100.2500
2000-11-09,100.6094
2000-11-10,100.7188
2000-11-13,100.9219
2000-11-14,101.0000
2000-11-15,101.2500
2000-11-16,101.4531
2000-11-17,101.2969
2000-11-20,101.4688
2000-11-21,101.5000
2000-11-22,101.8594
2000-11-23,101.8594
2000-11-24,101.6875
2000-11-27,101.6719
2000-11-28,102.0313
2000-11-29,102.2656
2000-11-30,103.0313
2000-12-01,102.5938
2000-12-04,102.5938
2000-12-05,103.1563
2000-12-06,103.7813
2000-12-07,103.7969
2000-12-08,103.4688
2000-12-11,103.3594
2000-12-12,103.5000
2000-12-13,103.9844
2000-12-14,104.3750
2000-12-15,104.6094
2000-12-18,104.7813
2000-12-19,104.5469
2000-12-20,105.0625
2000-12-21,105.3438
2000-12-22,105.5156
2000-12-25,105.5156
2000-12-26,105.4219
2000-12-27,104.8906
2000-12-28,104.7031
2000-12-29,104.8594
2001-01-02,106.1875
2001-01-03,104.7656
2001-01-04,105.5469
2001-01-05,106.1094
2001-01-08,106.3750
2001-01-09,105.9688
2001-01-10,105.3281
2001-01-11,105.1094
2001-01-12,104.3594
2001-01-15,104.3594
2001-01-16,104.5156
2001-01-17,105.0156
2001-01-18,105.5313
2001-01-19,105.0156
2001-02-05,105.2656
2001-02-06,104.9531
2001-02-07,105.1250
2001-02-08,105.0938
2001-02-09,105.5469
2001-02-12,105.3281
2001-02-13,105.1719
2001-02-14,104.8281
2001-02-15,104.4063
2001-02-16,105.0000
2001-02-19,105.0000
2001-02-20,105.0156
2001-02-21,104.7656
2001-02-22,104.8125
2001-02-23,105.1563
2001-02-26,105.4375
2001-02-27,105.8750
2001-02-28,105.9375
2001-03-01,106.1406
2001-03-02,105.4844
2001-03-05,105.4688
2001-03-06,105.4531
2001-03-07,105.8125
2001-03-08,105.9844
2001-03-09,105.6875
2001-03-12,105.7969
2001-03-13,105.6406
2001-03-14,106.2031
2001-03-15,106.4688
2001-03-16,106.7500
2001-03-19,106.3438
2001-03-20,106.6406
2001-03-21,106.7969
2001-03-22,107.2031
2001-03-23,106.7188
2001-03-26,106.4531
2001-03-27,105.5781
2001-03-28,105.7031
2001-03-29,105.8438
2001-03-30,106.2031
2001-04-02,105.8906
2001-04-03,106.0625
2001-04-04,106.2500
2001-04-05,105.9219
2001-04-06,106.6563
2001-04-09,106.4375
2001-04-10,105.4063
2001-04-11,105.1250
2001-04-12,104.7813
2001-04-13,104.7813
2001-04-16,103.9531
2001-04-17,104.6094
2001-04-18,105.0781
2001-04-19,104.2188
2001-04-20,104.1875
2001-04-23,104.7344
2001-04-24,104.6719
2001-04-25,104.2344
2001-04-26,104.7344
2001-04-27,103.7969
2001-04-30,103.7813
2001-05-08,104.7813
2001-05-09,105.1875
2001-05-10,104.3906
2001-05-11,102.9688
2001-05-14,103.3750
2001-05-15,102.9688
2001-05-16,103.1875
2001-05-17,103.2969
2001-05-18,103.4063
2001-05-21,103.5000
2001-05-22,103.5000
2001-05-23,103.5469
2001-05-24,102.9219
2001-05-25,102.9531
2001-05-28,102.9531
2001-05-29,102.8594
2001-05-30,102.8906
2001-05-31,102.8125
2001-06-01,103.0313
2001-06-04,103.3438
2001-06-05,103.8125
2001-06-06,103.8125
2001-06-07,103.5156
2001-06-08,103.1875
2001-06-11,103.5938
2001-06-12,103.9063
2001-06-13,103.8438
2001-06-14,104.1563
2001-06-15,104.0625
2001-06-18,104.1406
2001-06-19,104.2188
2001-06-20,104.4375
2001-06-21,104.4844
2001-06-22,105.0000
2001-06-25,104.9063
2001-06-26,104.3594
2001-06-27,104.2188
2001-06-28,103.5156
2001-06-29,103.0156
2001-07-02,103.5156
2001-07-03,103.1719
2001-07-04,103.1719
2001-07-05,102.9844
2001-07-06,103.3906
2001-07-09,103.5781
2001-07-10,104.0156
2001-07-11,104.0313
2001-07-12,104.3906
2001-07-13,104.4063
2001-07-16,104.8125
2001-07-17,104.7969
2001-07-18,105.5781
2001-07-19,105.3594
2001-07-20,105.3125
2001-07-23,105.4375
2001-07-24,105.5781
2001-07-25,105.0938
2001-07-26,105.2500
2001-07-27,105.6406
2001-07-30,105.7656
2001-07-31,106.1094
2001-08-01,105.8594
2001-08-02,105.4063
2001-08-03,105.2969
2001-08-06,105.3594
2001-08-07,105.3125
2001-08-08,106.0938
2001-08-09,105.7656
2001-08-10,106.0313
2001-08-13,106.2500
2001-08-14,106.1563
2001-08-15,105.9531
2001-08-16,106.3438
2001-08-17,106.9219
2001-08-20,106.5469
2001-08-21,106.6250
2001-08-22,106.5781
2001-08-23,106.7188
2001-08-24,106.5625
2001-08-27,106.5156
2001-08-28,107.1250
2001-08-29,107.4844
2001-08-30,106.7188
2001-08-31,106.5000
2001-09-03,106.5000
2001-09-04,105.3750
2001-09-05,105.5469
2001-09-06,106.3750
2001-09-07,106.8750
2001-09-10,106.6094
2001-09-11,107.5625
2001-09-12,107.5625
2001-09-13,109.3125
2001-09-14,108.9531
2001-09-17,108.4688
2001-09-18,107.8125
2001-09-19,107.9688
2001-09-20,107.5469
2001-09-21,107.9219
2001-09-24,107.7344
2001-09-25,107.9375
2001-09-26,108.4688
2001-09-27,108.9219
2001-09-28,108.7813
2001-10-08,109.5156
2001-10-09,107.9531
2001-10-10,109.0781
2001-10-11,108.5000
2001-10-12,108.5625
2001-10-15,109.0625
2001-10-16,109.2813
2001-10-17,109.3125
2001-10-18,109.3594
2001-10-19,108.9375
2001-10-22,109.0000
2001-10-23,108.8594
2001-10-24,109.2500
2001-10-25,109.6406
2001-10-26,109.7344
2001-10-29,110.0625
2001-10-30,110.6250
2001-10-31,111.5156
2001-11-01,111.5781
2001-11-02,110.8281
2001-11-05,111.2344
2001-11-06,111.4375
2001-11-07,112.0156
2001-11-08,111.2500
2001-11-09,111.1563
2001-11-12,111.1563
2001-11-13,109.4375
2001-11-14,109.5781
2001-11-15,107.9375
2001-11-16,106.9063
2001-11-19,107.8906
2001-11-20,107.1563
2001-11-21,106.4219
2001-11-22,106.4219
2001-11-23,106.0781
2001-11-26,106.0781
2001-11-27,106.6875
2001-11-28,106.6875
2001-11-29,108.0938
2001-11-30,106.9531
2001-12-03,107.2031
2001-12-04,107.6250
2001-12-05,105.8125
2001-12-06,105.0156
2001-12-07,103.9531
2001-12-10,104.2188
2001-12-11,104.6563
2001-12-12,105.4375
2001-12-13,104.5156
2001-12-14,103.9844
2001-12-17,103.6250
2001-12-18,104.3906
2001-12-19,105.0156
2001-12-20,104.9375
2001-12-21,104.6250
2001-12-24,104.2813
2001-12-25,104.2813
2001-12-26,103.9531
2001-12-27,104.6094
2001-12-28,104.5313
2001-12-31,105.1406
2002-01-04,104.5469
2002-01-07,105.3125
2002-01-08,105.2813
2002-01-09,105.3125
2002-01-10,106.0313
2002-01-11,106.6406
2002-01-14,106.7188
2002-01-15,107.0156
2002-01-16,106.9531
2002-01-17,106.2969
2002-01-18,106.6406
2002-01-21,106.6406
2002-01-22,106.5781
2002-01-23,105.9219
2002-01-24,105.7031
2002-01-25,105.4531
2002-01-28,105.4844
2002-01-29,106.2656
2002-01-30,106.2969
2002-01-31,105.8750
2002-02-01,106.2500
2002-02-04,106.8906
2002-02-05,106.9531
2002-02-06,106.7500
2002-02-07,106.5625
2002-02-08,106.9531
2002-02-25,107.2344
2002-02-26,106.7500
2002-02-27,107.5313
2002-02-28,105.9219
2002-03-01,105.1719
2002-03-04,104.9844
2002-03-05,104.9531
2002-03-06,104.7656
2002-03-07,103.5313
2002-03-08,102.8281
2002-03-11,102.8281
2002-03-12,102.9531
2002-03-13,103.3594
2002-03-14,102.2969
2002-03-15,102.6563
2002-03-18,103.0000
2002-03-19,102.8281
2002-03-20,102.2969
2002-03-21,102.5000
2002-03-22,102.4531
2002-03-25,102.3594
2002-03-26,102.8438
2002-03-27,102.9219
2002-03-28,102.4531
2002-03-29,102.4531
2002-04-01,102.4688
2002-04-02,103.0781
2002-04-03,103.6406
2002-04-04,103.6563
2002-04-05,104.2344
2002-04-08,104.0000
2002-04-09,104.2344
2002-04-10,104.1094
2002-04-11,104.2656
2002-04-12,104.6719
2002-04-15,104.8750
2002-04-16,104.5938
2002-04-17,104.3125
2002-04-18,104.4063
2002-04-19,104.5313
2002-04-22,104.7344
2002-04-23,104.7500
2002-04-24,105.2813
2002-04-25,105.4219
2002-04-26,105.7031
2002-04-29,105.4531
2002-04-30,105.5625
2002-05-08,104.8438
2002-05-09,105.1563
2002-05-10,105.6875
2002-05-13,105.0625
2002-05-14,104.4531
2002-05-15,104.7188
2002-05-16,105.2500
2002-05-17,104.8281
2002-05-20,105.2813
2002-05-21,105.6250
2002-05-22,106.0000
2002-05-23,105.7344
2002-05-24,105.9375
2002-05-27,105.9375
2002-05-28,106.0156
2002-05-29,106.4531
2002-05-30,106.8281
2002-05-31,105.2813
2002-06-03,105.3438
2002-06-04,105.5156
2002-06-05,105.3594
2002-06-06,105.6094
2002-06-07,105.3438
2002-06-10,105.5000
2002-06-11,105.8594
2002-06-12,106.1250
2002-06-13,106.4375
2002-06-14,107.2500
2002-06-17,106.8438
2002-06-18,106.9219
2002-06-19,107.7969
2002-06-20,107.0313
2002-06-21,107.6094
2002-06-24,107.1094
2002-06-25,107.1563
2002-06-26,108.0469
2002-06-27,107.3281
2002-06-28,107.2344
2002-07-01,107.2969
2002-07-02,107.9219
2002-07-03,107.8438
2002-07-04,107.8438
2002-07-05,107.0313
2002-07-08,107.4063
2002-07-09,107.9375
2002-07-10,108.6563
2002-07-11,108.8438
2002-07-12,109.0313
2002-07-15,108.9375
2002-07-16,108.3594
2002-07-17,108.7813
2002-07-18,109.1719
2002-07-19,109.4688
2002-07-22,110.1719
2002-07-23,110.4844
2002-07-24,110.6719
2002-07-25,110.8438
2002-07-26,111.0469
2002-07-29,109.9375
2002-07-30,109.7344
2002-07-31,110.6094
2002-08-01,111.0469
2002-08-02,112.1406
2002-08-05,112.3906
2002-08-06,111.3750
2002-08-07,112.0781
2002-08-08,111.4531
2002-08-09,112.4688
2002-08-12,112.6875
2002-08-13,113.3125
2002-08-14,113.2344
2002-08-15,112.5313
2002-08-16,111.5156
2002-08-19,111.7031
2002-08-20,112.7344
2002-08-21,112.6094
2002-08-22,111.9844
2002-08-23,112.5000
2002-08-26,112.7188
2002-08-27,112.1875
2002-08-28,112.5781
2002-08-29,113.0313
2002-08-30,111.7813
2002-09-02,111.7813
2002-09-03,113.0469
2002-09-04,113.2813
2002-09-05,113.6250
2002-09-06,112.7656
2002-09-09,112.7031
2002-09-10,113.0469
2002-09-11,112.5469
2002-09-12,113.2031
2002-09-13,113.6563
2002-09-16,113.8906
2002-09-17,114.0156
2002-09-18,114.0781
2002-09-19,114.5781
2002-09-20,114.6875
2002-09-23,115.3438
2002-09-24,115.5000
2002-09-25,114.6875
2002-09-26,114.7031
2002-09-27,115.2813
2002-10-08,115.5938
2002-10-09,116.1563
2002-10-10,115.7031
2002-10-11,114.8125
2002-10-14,114.8125
2002-10-15,113.2969
2002-10-16,113.1250
2002-10-17,112.5625
2002-10-18,112.6875
2002-10-21,112.1406
2002-10-22,112.0469
2002-10-23,112.1250
2002-10-24,112.7344
2002-10-25,113.1406
2002-10-28,113.3594
2002-10-29,114.3906
2002-10-30,114.2656
2002-10-31,114.7188
2002-11-01,114.2500
2002-11-04,113.8125
2002-11-05,113.6250
2002-11-06,113.8438
2002-11-07,114.7813
2002-11-08,115.0469
2002-11-11,115.0469
2002-11-12,115.0781
2002-11-13,115.2656
2002-11-14,113.9531
2002-11-15,113.7344
2002-11-18,113.9063
