,上证综指
,000001.SH
日期,收盘价
Date,close
2000-01-04,1406.3710
2000-01-05,1409.6820
2000-01-06,1463.9420
2000-01-07,1516.6040
2000-01-10,1545.1120
2000-01-11,1479.7810
2000-01-12,1438.0200
2000-01-13,1424.4420
2000-01-14,1408.8480
2000-01-17,1433.3300
2000-01-18,1426.6230
2000-01-19,1440.7240
2000-01-20,1466.8630
2000-01-21,1465.0850
2000-01-24,1477.3440
2000-01-25,1476.5060
2000-01-26,1481.1170
2000-01-27,1506.7670
2000-01-28,1534.9970
2000-02-14,1673.9430
2000-02-15,1670.6700
2000-02-16,1693.1090
2000-02-17,1640.6490
2000-02-18,1668.0910
2000-02-21,1677.1360
2000-02-22,1632.2940
2000-02-23,1594.9300
2000-02-24,1634.3090
2000-02-25,1631.5760
2000-02-28,1704.8550
2000-02-29,1714.5780
2000-03-01,1697.7440
2000-03-02,1713.0140
2000-03-03,1738.0210
2000-03-06,1681.0850
2000-03-07,1694.7980
2000-03-08,1726.0330
2000-03-09,1732.3460
2000-03-10,1705.0490
2000-03-13,1728.8750
2000-03-14,1685.3470
2000-03-15,1681.4710
2000-03-16,1607.5270
2000-03-17,1658.6010
2000-03-20,1699.2480
2000-03-21,1710.3240
2000-03-22,1720.4460
2000-03-23,1747.2410
2000-03-24,1730.4990
2000-03-27,1775.9140
2000-03-28,1791.4410
2000-03-29,1788.8070
2000-03-30,1810.9840
2000-03-31,1800.2250
2000-04-03,1801.0030
2000-04-04,1760.6920
2000-04-05,1771.1990
2000-04-06,1809.1410
2000-04-07,1819.8960
2000-04-10,1826.0610
2000-04-11,1821.1740
2000-04-12,1807.3280
2000-04-13,1831.5480
2000-04-14,1833.6650
2000-04-17,1795.0580
2000-04-18,1813.4950
2000-04-19,1828.7100
2000-04-20,1847.0270
2000-04-21,1841.0640
2000-04-24,1837.3980
2000-04-25,1833.4690
2000-04-26,1832.7790
2000-04-27,1806.8300
2000-04-28,1836.3210
2000-05-08,1836.6370
2000-05-09,1806.6380
2000-05-10,1752.6890
2000-05-11,1724.0480
2000-05-12,1720.6080
2000-05-15,1704.5870
2000-05-16,1724.5380
2000-05-17,1725.3980
2000-05-18,1758.5370
2000-05-19,1777.8280
2000-05-22,1824.7360
2000-05-23,1832.0750
2000-05-24,1855.4930
2000-05-25,1880.7040
2000-05-26,1879.6170
2000-05-29,1898.7480
2000-05-30,1877.4710
2000-05-31,1894.5540
2000-06-01,1903.4880
2000-06-02,1916.2500
2000-06-05,1899.0920
2000-06-06,1925.5440
2000-06-07,1935.0310
2000-06-08,1925.2060
2000-06-09,1900.7870
2000-06-12,1912.5570
2000-06-13,1938.6740
2000-06-14,1932.2900
2000-06-15,1942.2850
2000-06-16,1926.9440
2000-06-19,1915.2050
2000-06-20,1895.3480
2000-06-21,1913.1310
2000-06-22,1913.9010
2000-06-23,1939.6270
2000-06-26,1948.6390
2000-06-27,1942.8980
2000-06-28,1947.4810
2000-06-29,1937.2610
2000-06-30,1928.1060
2000-07-03,1895.6370
2000-07-04,1907.9310
2000-07-05,1909.1870
2000-07-06,1902.5520
2000-07-07,1932.7920
2000-07-10,1948.0210
2000-07-11,1960.5410
2000-07-12,1973.3740
2000-07-13,1979.2010
2000-07-14,1987.1920
2000-07-17,1982.4790
2000-07-18,1993.9860
2000-07-19,1998.4260
2000-07-20,1991.5600
2000-07-21,1996.3360
2000-07-24,1989.2390
2000-07-25,1996.5770
2000-07-26,2012.3190
2000-07-27,2012.3500
2000-07-28,2012.7930
2000-07-31,2023.5390
2000-08-01,2028.1510
2000-08-02,2030.6830
2000-08-03,2036.3010
2000-08-04,2026.3610
2000-08-07,2039.4190
2000-08-08,2049.9160
2000-08-09,2061.1800
2000-08-10,2065.9430
2000-08-11,2062.6660
2000-08-14,2076.3000
2000-08-15,2076.8230
2000-08-16,2083.4670
2000-08-17,2091.5860
2000-08-18,2090.1830
2000-08-21,2108.6900
2000-08-22,2074.7030
2000-08-23,2057.9190
2000-08-24,2071.1610
2000-08-25,2086.7030
2000-08-28,2100.5850
2000-08-29,2105.4760
2000-08-30,2076.1430
2000-08-31,2021.1990
2000-09-01,1999.8590
2000-09-04,2010.6020
2000-09-05,1963.7920
2000-09-06,1925.9070
2000-09-07,1950.6630
2000-09-08,1959.3120
2000-09-11,1972.0430
2000-09-12,1979.0950
2000-09-13,1988.9360
2000-09-14,1979.5050
2000-09-15,1978.4340
2000-09-18,1946.7530
2000-09-19,1903.1540
2000-09-20,1922.2890
2000-09-21,1907.3060
2000-09-22,1891.9840
2000-09-25,1875.9110
2000-09-26,1887.8290
2000-09-27,1914.0860
2000-09-28,1889.2890
2000-09-29,1910.1610
2000-10-09,1915.3500
2000-10-10,1942.1490
2000-10-11,1933.7260
2000-10-12,1926.3240
2000-10-13,1918.1570
2000-10-16,1902.8090
2000-10-17,1909.4900
2000-10-18,1922.8450
2000-10-19,1913.4200
2000-10-20,1947.4550
2000-10-23,1958.9380
2000-10-24,1956.3440
2000-10-25,1977.2540
2000-10-26,1967.6730
2000-10-27,1967.4050
2000-10-30,1973.5780
2000-10-31,1961.2870
2000-11-01,1977.3630
2000-11-02,1984.2600
2000-11-03,1981.6310
2000-11-06,1991.1730
2000-11-07,1997.0770
2000-11-08,2012.9080
2000-11-09,2032.4820
2000-11-10,2047.4580
2000-11-13,2070.7880
2000-11-14,2085.1180
2000-11-15,2081.9050
2000-11-16,2095.9840
2000-11-17,2093.2350
2000-11-20,2101.3890
2000-11-21,2097.9820
2000-11-22,2113.3030
2000-11-23,2119.4390
2000-11-24,2053.3700
2000-11-27,2049.6710
2000-11-28,2079.3960
