Wind,,,,
时间区间,2004-06-01:2020-03-06,1947-01-28:2020-03-05,1975-01-02:2020-03-06,1988-06-23:2020-03-06
频率,日,日,日,日
指标名称,南华综合指数,CRB现货指数:综合,期货收盘价(连续):COMEX黄金,期货结算价(连续):布伦特原油
2007-09-03,"1,292.91",0.00,0.00,73.41
2007-09-04,"1,291.06",413.13,685.20,73.92
2007-09-05,"1,294.55",412.41,684.30,74.34
2007-09-06,"1,296.11",412.48,698.10,74.77
2007-09-07,"1,297.81",413.04,703.20,75.07
2007-09-10,"1,302.55",413.57,705.60,75.48
2007-09-11,"1,306.33",415.66,714.40,76.38
2007-09-12,"1,314.28",417.31,714.00,77.68
2007-09-13,"1,314.67",416.28,711.20,77.40
2007-09-14,"1,316.54",415.98,711.10,76.22
2007-09-17,"1,332.57",418.50,717.10,76.98
2007-09-18,"1,341.50",419.83,717.00,77.59
2007-09-19,"1,335.34",420.28,723.00,78.47
2007-09-20,"1,334.98",422.82,733.20,79.09
2007-09-21,"1,334.21",423.74,732.10,79.30
2007-09-24,"1,335.84",424.91,732.50,78.91
2007-09-25,"1,338.43",423.82,732.00,77.62
2007-09-26,"1,341.29",425.28,728.60,77.43
2007-09-27,"1,342.88",427.03,732.70,80.03
2007-09-28,"1,348.75",426.43,742.80,79.17
2007-10-01,0.00,426.27,747.20,77.64
2007-10-02,0.00,428.18,729.80,77.38
2007-10-03,0.00,424.50,729.30,77.19
2007-10-04,0.00,424.26,737.80,78.97
2007-10-05,0.00,422.37,741.30,78.90
2007-10-08,"1,341.33",419.40,732.80,76.58
2007-10-09,"1,342.27",418.68,737.40,77.49
2007-10-10,"1,356.43",421.09,740.40,78.60
2007-10-11,"1,357.48",421.65,751.30,80.15
2007-10-12,"1,359.09",421.57,748.70,80.55
2007-10-15,"1,371.04",424.78,757.90,82.75
2007-10-16,"1,376.89",423.62,760.20,84.16
2007-10-17,"1,364.58",422.09,757.50,83.13
2007-10-18,"1,367.26",425.68,764.10,84.60
2007-10-19,"1,368.90",426.04,764.00,83.79
2007-10-22,"1,348.34",424.41,755.80,83.27
2007-10-23,"1,355.64",425.18,759.00,82.85
2007-10-24,"1,347.83",422.97,761.60,84.37
2007-10-25,"1,340.92",424.02,767.30,87.48
2007-10-26,"1,361.65",425.95,783.90,88.69
2007-10-29,"1,386.55",427.50,789.10,90.32
2007-10-30,"1,371.85",425.38,787.80,87.44
2007-10-31,"1,365.64",427.61,795.30,90.63
2007-11-01,"1,371.72",427.91,793.70,89.72
2007-11-02,"1,361.73",425.69,808.50,92.08
2007-11-05,"1,363.77",425.95,810.80,90.49
2007-11-06,"1,375.85",428.32,823.40,93.26
