,中证500,,,,,,,,,,
,000905.SH,,,,,,,,,,
日期,前收盘价,开盘价,最高价,最低价,收盘价,成交量,成交额,涨跌,涨跌幅,复权因子,换手率
Date,pre_close,open,high,low,close,volume,amt,chg,pct_chg,adjfactor,turn
2007-01-04,1726.1460,1738.9290,1748.0910,1719.4980,1723.6860,3212986778.0000,18743743273.0000,-2.4600,-0.1425,1.000000,
2007-01-05,1723.6860,1719.2830,1770.4830,1712.7370,1770.4750,2954547440.0000,17027050330.0000,46.7890,2.7145,1.000000,
2007-01-08,1770.4750,1773.0230,1851.9640,1773.0230,1851.9640,3971932034.0000,23144319524.0000,81.4890,4.6027,1.000000,
2007-01-09,1851.9640,1855.3470,1893.7230,1853.9010,1891.8710,4284590850.0000,24953532868.0000,39.9070,2.1548,1.000000,
2007-01-10,1891.8710,1896.7110,1940.8320,1884.6190,1940.8320,4540633664.0000,26373105774.0000,48.9610,2.5880,1.000000,
2007-01-11,1940.8320,1946.5010,2005.0610,1935.3960,1952.2360,5388346491.0000,31508766345.0000,11.4040,0.5876,1.000000,
2007-01-12,1952.2360,1941.3450,1972.8650,1879.5900,1881.7530,4408009389.0000,25821603780.0000,-70.4830,-3.6104,1.000000,
2007-01-15,1881.7530,1881.4670,1986.5390,1881.4670,1986.5390,3881263032.0000,23710425932.0000,104.7860,5.5685,1.000000,4.7627
2007-01-16,1986.5390,1991.6910,2055.0160,1991.0410,2055.0160,4807441898.0000,30689048915.0000,68.4770,3.4471,1.000000,5.8920
2007-01-17,2055.0160,2064.2890,2093.8900,1992.5390,2035.6510,5883288700.0000,38375191550.0000,-19.3650,-0.9423,1.000000,7.2092
2007-01-18,2035.6510,2025.8530,2085.4030,2002.6560,2085.4030,5094946000.0000,32208210284.0000,49.7520,2.4440,1.000000,6.2347
2007-01-19,2085.4030,2097.5050,2159.6460,2097.5050,2159.6380,5792516800.0000,36951910780.0000,74.2350,3.5597,1.000000,7.0525
2007-01-22,2159.6380,2183.4370,2259.0290,2183.4370,2258.9860,6358920100.0000,40928365323.0000,99.3480,4.6002,1.000000,7.7421
2007-01-23,2258.9860,2267.4540,2268.6870,2175.5980,2261.7850,6108017600.0000,39600092963.0000,2.7990,0.1239,1.000000,7.4227
2007-01-24,2261.7850,2260.7070,2295.2580,2236.5750,2283.6960,5104122200.0000,33928713068.0000,21.9110,0.9687,1.000000,6.2026
2007-01-25,2283.6960,2271.5190,2271.5190,2172.9840,2174.2390,4817566000.0000,32172915840.0000,-109.4570,-4.7930,1.000000,5.8531
2007-01-26,2174.2390,2143.9940,2196.2780,2061.6600,2186.2700,4475940500.0000,28778328607.0000,12.0310,0.5533,1.000000,5.4380
2007-01-29,2186.2700,2201.5860,2261.2420,2201.5860,2260.5960,4564666200.0000,30788164443.0000,74.3260,3.3997,1.000000,5.5458
2007-01-30,2260.5960,2271.4740,2280.7250,2230.6520,2255.9380,5024768700.0000,33163100591.0000,-4.6580,-0.2061,1.000000,6.1047
2007-01-31,2255.9380,2251.3180,2258.6980,2129.7860,2142.8910,4904692400.0000,32828621831.0000,-113.0470,-5.0111,1.000000,5.9588
2007-02-01,2142.8910,2120.0070,2176.1950,2080.1620,2165.4050,4233884500.0000,27578619714.0000,22.5140,1.0506,1.000000,5.1414
2007-02-02,2165.4050,2170.0300,2190.9580,2124.2980,2127.1040,3861061000.0000,25752753793.0000,-38.3010,-1.7688,1.000000,4.6887
2007-02-05,2127.1040,2122.3690,2166.0940,2118.8710,2152.2500,3013411000.0000,20119479185.0000,25.1460,1.1822,1.000000,3.6593
2007-02-06,2152.2500,2158.4980,2198.6260,2148.0990,2198.2390,3087618500.0000,20714662878.0000,45.9890,2.1368,1.000000,3.7479
2007-02-07,2198.2390,2209.6520,2237.9440,2208.3780,2237.9440,3832705000.0000,26101531474.0000,39.7050,1.8062,1.000000,4.6519
2007-02-08,2237.9440,2245.0780,2282.1930,2233.5210,2278.4450,3905389700.0000,26710676361.0000,40.5010,1.8097,1.000000,4.7367
2007-02-09,2278.4450,2282.6270,2300.8060,2263.6120,2287.3810,3716182200.0000,24939688424.0000,8.9360,0.3922,1.000000,4.5072
2007-02-12,2287.3810,2291.6600,2341.0720,2291.6600,2341.0720,3618835300.0000,25013026001.0000,53.6910,2.3473,1.000000,4.3836
2007-02-13,2341.0720,2351.6500,2384.1580,2338.5650,2384.1580,3816378300.0000,26801027681.0000,43.0860,1.8404,1.000000,4.6208
2007-02-14,2384.1580,2386.8350,2445.7650,2380.7360,2435.9590,4406558200.0000,31223510543.0000,51.8010,2.1727,1.000000,5.3262
2007-02-15,2435.9590,2451.4360,2512.5500,2451.3180,2512.4020,5151645900.0000,37101618593.0000,76.4430,3.1381,1.000000,6.2231
2007-02-16,2512.4020,2528.8360,2581.5600,2519.2320,2541.4090,5405675100.0000,39956571058.0000,29.0070,1.1546,1.000000,6.5010
2007-02-26,2541.4090,2557.2540,2642.1140,2532.0970,2642.1140,4896308400.0000,36442929080.0000,100.7050,3.9626,1.000000,5.8768
2007-02-27,2642.1140,2654.4350,2673.5300,2402.7190,2405.5740,7240425400.0000,52918857566.0000,-236.5400,-8.9527,1.000000,8.6691
2007-02-28,2405.5740,2370.9510,2520.0000,2369.0530,2513.5330,5302502900.0000,37869581290.0000,107.9590,4.4879,1.000000,6.3470
2007-03-01,2513.5330,2526.1540,2526.1590,2417.8420,2459.5110,5882813900.0000,41587572191.0000,-54.0220,-2.1492,1.000000,7.0338
2007-03-02,2459.5110,2458.2600,2515.0230,2452.9650,2503.6770,4723810400.0000,33901995283.0000,44.1660,1.7957,1.000000,5.6473
2007-03-05,2503.6770,2508.3860,2548.2540,2419.2880,2511.9160,4953597800.0000,36388108851.0000,8.2390,0.3291,1.000000,5.9172
2007-03-06,2511.9160,2501.2860,2524.6320,2467.6800,2516.0030,3332166600.0000,24808787734.0000,4.0870,0.1627,1.000000,3.9804
2007-03-07,2516.0030,2525.5340,2580.5970,2525.4660,2580.5970,3723070900.0000,28949689587.0000,64.5940,2.5673,1.000000,4.4449
2007-03-08,2580.5970,2587.7480,2634.8790,2562.4990,2634.8790,4307706500.0000,33388959788.0000,54.2820,2.1035,1.000000,5.1341
2007-03-09,2634.8790,2637.5960,2662.3280,2590.4380,2638.0470,4803170500.0000,37390032187.0000,3.1680,0.1202,1.000000,5.7220
2007-03-12,2638.0470,2639.8940,2696.8710,2610.4020,2696.4970,5136709100.0000,39729102503.0000,58.4500,2.2157,1.000000,6.1131
2007-03-13,2696.4970,2701.5020,2740.4620,2694.3820,2727.4550,5359616200.0000,41804787634.0000,30.9580,1.1481,1.000000,6.3784
2007-03-14,2727.4550,2704.4450,2740.5320,2622.7550,2708.6870,5658027100.0000,43846863925.0000,-18.7680,-0.6881,1.000000,6.7335
2007-03-15,2708.6870,2703.9290,2760.8440,2703.5700,2760.8440,5100980600.0000,40574627499.0000,52.1570,1.9255,1.000000,6.0666
2007-03-16,2760.8440,2769.1510,2777.4090,2671.9550,2710.8610,5563313100.0000,45080917910.0000,-49.9830,-1.8104,1.000000,6.6137
2007-03-19,2710.8610,2623.7360,2760.0890,2609.3120,2751.4770,4764988100.0000,38729127772.0000,40.6160,1.4983,1.000000,5.6496
2007-03-20,2751.4770,2761.0100,2811.1530,2758.9950,2810.7140,4355898400.0000,36502668162.0000,59.2370,2.1529,1.000000,5.1554
2007-03-21,2810.7140,2821.4400,2859.0320,2801.9250,2859.0060,4827675600.0000,40605909989.0000,48.2920,1.7181,1.000000,5.7036
2007-03-22,2859.0060,2869.7490,2899.3460,2852.6710,2861.1460,5600569800.0000,47352036212.0000,2.1400,0.0749,1.000000,6.6105
2007-03-23,2861.1460,2862.6290,2901.7850,2820.9900,2897.9990,5227235500.0000,44346584943.0000,36.8530,1.2881,1.000000,6.1563
2007-03-26,2897.9990,2915.0480,2989.0510,2915.0480,2989.0510,5673677500.0000,48797439034.0000,91.0520,3.1419,1.000000,6.6768
2007-03-27,2989.0510,2995.4640,3040.3480,2979.1260,3039.5340,5695780000.0000,50436251179.0000,50.4830,1.6889,1.000000,6.7005
2007-03-28,3039.5340,3048.5010,3060.1890,2873.3770,3004.2950,6700933900.0000,59168941748.0000,-35.2390,-1.1594,1.000000,7.8607
2007-03-29,3004.2950,3005.0620,3008.2230,2894.7430,2894.7790,5599479900.0000,48606097258.0000,-109.5160,-3.6453,1.000000,6.5549
2007-03-30,2894.7790,2878.2420,2935.2390,2859.7280,2926.0640,3596241700.0000,31503658398.0000,31.2850,1.0807,1.000000,4.2041
2007-04-02,2926.0640,2935.2110,2993.6300,2932.6360,2993.6300,3767358700.0000,34371206540.0000,67.5660,2.3091,1.000000,4.4019
2007-04-03,2993.6300,3004.8970,3042.4610,2993.1860,3042.4610,4676698300.0000,43272502515.0000,48.8310,1.6312,1.000000,5.4462
2007-04-04,3042.4610,3049.9170,3084.6170,3032.4850,3078.9010,5312635300.0000,49456797744.0000,36.4400,1.1977,1.000000,6.1564
2007-04-05,3078.9010,3076.7590,3137.0180,3063.4240,3133.1420,5280165700.0000,48998208124.0000,54.2410,1.7617,1.000000,6.1136
2007-04-06,3133.1420,3110.9490,3189.1080,3097.0610,3182.7970,5625205400.0000,53093793741.0000,49.6550,1.5848,1.000000,6.4991
2007-04-09,3182.7970,3201.1480,3243.8830,3201.1480,3240.3020,6214375200.0000,59855679384.0000,57.5050,1.8067,1.000000,7.1732
2007-04-10,3240.3020,3253.6730,3261.5270,3151.4900,3261.5270,6355660800.0000,61706182026.0000,21.2250,0.6550,1.000000,7.3315
2007-04-11,3261.5270,3267.6090,3309.9840,3231.3100,3309.7450,6772377200.0000,66771673111.0000,48.2180,1.4784,1.000000,7.8069
2007-04-12,3309.7450,3316.2030,3387.4120,3302.3590,3387.4120,6470744600.0000,64857399450.0000,77.6670,2.3466,1.000000,7.4497
2007-04-13,3387.4120,3393.9600,3419.9940,3341.2700,3358.6320,6753507300.0000,70464209187.0000,-28.7800,-0.8496,1.000000,7.7689
2007-04-16,3358.6320,3362.7330,3458.0730,3362.7330,3458.0670,6039685800.0000,62079349301.0000,99.4350,2.9606,1.000000,6.9402
2007-04-17,3458.0670,3482.3580,3558.2160,3420.3060,3558.2160,7794423700.0000,80497402807.0000,100.1490,2.8961,1.000000,8.9359
2007-04-18,3558.2160,3572.6990,3652.7200,3548.3600,3649.7140,7161400000.0000,76799598093.0000,91.4980,2.5715,1.000000,8.1989
2007-04-19,3649.7140,3642.8520,3642.8520,3356.0190,3435.7800,7801430100.0000,81866685727.0000,-213.9340,-5.8617,1.000000,8.9256
2007-04-20,3435.7800,3456.7380,3624.8230,3456.7380,3614.3910,6225114500.0000,66598043638.0000,178.6110,5.1986,1.000000,7.1195
2007-04-23,3614.3910,3667.5530,3784.0790,3667.5530,3782.2560,7372002800.0000,82859479027.0000,167.8650,4.6444,1.000000,8.4304
2007-04-24,3782.2560,3813.5320,3861.5740,3753.1340,3821.4160,8181431900.0000,93868619322.0000,39.1600,1.0354,1.000000,9.3261
2007-04-25,3821.4160,3802.6880,3822.4130,3712.0410,3805.0460,6438927200.0000,73367705321.0000,-16.3700,-0.4284,1.000000,7.3223
2007-04-26,3805.0460,3814.9180,3854.0460,3788.8670,3853.2690,5543334900.0000,64185466504.0000,48.2230,1.2673,1.000000,6.2832
2007-04-27,3853.2690,3861.0550,3871.4010,3801.5540,3845.8130,5829740200.0000,67853343646.0000,-7.4560,-0.1935,1.000000,6.6064
2007-04-30,3845.8130,3831.5500,3909.0440,3809.9740,3903.6890,6557115000.0000,76728359304.0000,57.8760,1.5049,1.000000,7.4233
2007-05-08,3903.6890,3990.7100,4093.0100,3972.0340,4091.1330,7312397300.0000,88475909333.0000,187.4440,4.8017,1.000000,8.2725
2007-05-09,4091.1330,4107.5530,4125.4180,3918.7450,4099.1260,8305249900.0000,101593000714.0000,7.9930,0.1954,1.000000,9.3720
2007-05-10,4099.1260,4103.5730,4146.5850,4062.4800,4128.0810,6851392100.0000,83048637239.0000,28.9550,0.7064,1.000000,7.7223
2007-05-11,4128.0810,4101.6490,4130.9010,4028.3610,4109.4030,6024275200.0000,73415159786.0000,-18.6780,-0.4525,1.000000,6.7768
2007-05-14,4109.4030,4051.8400,4164.8090,4014.5650,4133.8260,5875138100.0000,74274346670.0000,24.4230,0.5943,1.000000,6.6090
2007-05-15,4133.8260,4140.3260,4161.5190,3989.3640,3998.7770,6400179400.0000,79732368766.0000,-135.0490,-3.2669,1.000000,7.1865
2007-05-16,3998.7770,3981.8220,4118.2440,3929.5150,4118.1390,5555939400.0000,69165055418.0000,119.3620,2.9850,1.000000,6.2179
2007-05-17,4118.1390,4146.3240,4235.0500,4135.3730,4221.9130,6270870200.0000,80387926794.0000,103.7740,2.5199,1.000000,7.0048
2007-05-18,4221.9130,4219.6070,4261.4560,4188.3210,4235.1850,5920970000.0000,76234234377.0000,13.2720,0.3144,1.000000,6.6038
2007-05-21,4235.1850,4089.8540,4364.1560,4076.5170,4364.1560,7162174500.0000,92849503948.0000,128.9710,3.0452,1.000000,7.9762
2007-05-22,4364.1560,4402.9250,4484.5330,4402.7620,4459.8130,8065068700.0000,105981659297.0000,95.6570,2.1919,1.000000,8.9551
2007-05-23,4459.8130,4486.0220,4582.4540,4463.2710,4582.3060,7429000000.0000,99319025813.0000,122.4930,2.7466,1.000000,8.2241
2007-05-24,4582.3060,4606.1500,4625.9210,4460.9260,4571.7140,8313528100.0000,111906826052.0000,-10.5920,-0.2312,1.000000,9.1837
2007-05-25,4571.7140,4559.4290,4665.9780,4525.2910,4649.8570,7120866700.0000,98999673715.0000,78.1430,1.7093,1.000000,7.8527
2007-05-28,4649.8570,4707.6930,4784.4280,4700.6150,4761.7010,8115643500.0000,115289565613.0000,111.8440,2.4053,1.000000,8.9415
2007-05-29,4761.7010,4782.4120,4853.8800,4730.4800,4853.6430,7563410600.0000,108400505641.0000,91.9420,1.9309,1.000000,8.3191
2007-05-30,4853.6430,4486.5060,4751.0350,4430.6880,4456.2790,8063030500.0000,112955864453.0000,-397.3640,-8.1869,1.000000,8.8544
2007-05-31,4456.2790,4329.8090,4414.6120,4095.4030,4267.7810,7444530700.0000,97069386853.0000,-188.4980,-4.2299,1.000000,8.1652
2007-06-01,4267.7810,4260.7680,4317.3020,3945.4040,3960.4420,6604351400.0000,84642388168.0000,-307.3390,-7.2014,1.000000,7.2434
