,标普500
,SPX.GI
日期,收盘价
Date,close
2000-01-04,1399.4200
2000-01-05,1402.1100
2000-01-06,1403.4500
2000-01-07,1441.4700
2000-01-10,1457.6000
2000-01-11,1438.5600
2000-01-12,1432.2500
2000-01-13,1449.6800
2000-01-14,1465.1500
2000-01-17,1465.1500
2000-01-18,1455.1400
2000-01-19,1455.9000
2000-01-20,1445.5700
2000-01-21,1441.3600
2000-01-24,1401.5300
2000-01-25,1410.0300
2000-01-26,1404.0900
2000-01-27,1398.5600
2000-01-28,1360.1600
2000-02-14,1389.9400
2000-02-15,1402.0500
2000-02-16,1387.6700
2000-02-17,1388.2600
2000-02-18,1346.0900
2000-02-21,1346.0900
2000-02-22,1352.1700
2000-02-23,1360.6900
2000-02-24,1353.4300
2000-02-25,1333.3600
2000-02-28,1348.0500
2000-02-29,1366.4200
2000-03-01,1379.1900
2000-03-02,1381.7600
2000-03-03,1409.1700
2000-03-06,1391.2800
2000-03-07,1355.6200
2000-03-08,1366.7000
2000-03-09,1401.6900
2000-03-10,1395.0700
2000-03-13,1383.6200
2000-03-14,1359.1500
2000-03-15,1392.1500
2000-03-16,1458.4700
2000-03-17,1464.4700
2000-03-20,1456.6300
2000-03-21,1493.8700
2000-03-22,1500.6400
2000-03-23,1527.3500
2000-03-24,1527.4600
2000-03-27,1523.8600
2000-03-28,1507.7300
2000-03-29,1508.5200
2000-03-30,1487.9200
2000-03-31,1498.5800
2000-04-03,1505.9700
2000-04-04,1494.7300
2000-04-05,1487.3700
2000-04-06,1501.3400
2000-04-07,1516.3500
2000-04-10,1504.4600
2000-04-11,1500.5900
2000-04-12,1467.1700
2000-04-13,1440.5100
2000-04-14,1356.5600
2000-04-17,1401.4400
2000-04-18,1441.6100
2000-04-19,1427.4700
2000-04-20,1434.5400
2000-04-21,1434.5400
2000-04-24,1429.8600
2000-04-25,1477.4400
2000-04-26,1460.9900
2000-04-27,1464.9200
2000-04-28,1452.4300
2000-05-08,1424.1700
2000-05-09,1412.1400
2000-05-10,1383.0500
2000-05-11,1407.8100
2000-05-12,1420.9600
2000-05-15,1452.3600
2000-05-16,1466.0400
2000-05-17,1447.8000
2000-05-18,1437.2100
2000-05-19,1406.9500
2000-05-22,1400.7200
2000-05-23,1373.8600
2000-05-24,1399.0500
2000-05-25,1381.5200
2000-05-26,1378.0200
2000-05-29,1378.0200
2000-05-30,1422.4500
2000-05-31,1420.6000
2000-06-01,1448.8100
2000-06-02,1477.2600
2000-06-05,1467.6300
2000-06-06,1457.8400
2000-06-07,1471.3600
2000-06-08,1461.6700
2000-06-09,1456.9500
2000-06-12,1446.0000
2000-06-13,1469.4400
2000-06-14,1470.5400
2000-06-15,1478.7300
2000-06-16,1464.4600
2000-06-19,1486.0000
2000-06-20,1475.9500
2000-06-21,1479.1300
2000-06-22,1452.1800
2000-06-23,1441.4800
2000-06-26,1455.3100
2000-06-27,1450.5500
2000-06-28,1454.8200
2000-06-29,1442.3900
2000-06-30,1454.6000
2000-07-03,1469.5400
2000-07-04,1469.5400
2000-07-05,1446.2300
2000-07-06,1456.6700
2000-07-07,1478.9000
2000-07-10,1475.6200
2000-07-11,1480.8800
2000-07-12,1492.9200
2000-07-13,1495.8400
2000-07-14,1509.9800
2000-07-17,1510.4900
2000-07-18,1493.7400
2000-07-19,1481.9600
2000-07-20,1495.5700
2000-07-21,1480.1900
2000-07-24,1464.2900
2000-07-25,1474.4700
2000-07-26,1452.4200
2000-07-27,1449.6200
2000-07-28,1419.8900
2000-07-31,1430.8300
2000-08-01,1438.1000
2000-08-02,1438.7000
2000-08-03,1452.5600
2000-08-04,1462.9300
2000-08-07,1479.3200
2000-08-08,1482.8000
2000-08-09,1472.8700
2000-08-10,1460.2500
2000-08-11,1471.8400
2000-08-14,1491.5600
2000-08-15,1484.4300
2000-08-16,1479.8500
2000-08-17,1496.0700
2000-08-18,1491.7200
2000-08-21,1499.4800
2000-08-22,1498.1300
2000-08-23,1505.9700
2000-08-24,1508.3100
2000-08-25,1506.4500
2000-08-28,1514.0900
2000-08-29,1509.8400
2000-08-30,1502.5900
2000-08-31,1517.6800
2000-09-01,1520.7700
2000-09-04,1520.7700
2000-09-05,1507.0800
2000-09-06,1492.2500
2000-09-07,1502.5100
2000-09-08,1494.5000
2000-09-11,1489.2600
2000-09-12,1481.9900
2000-09-13,1484.9100
2000-09-14,1480.8700
2000-09-15,1465.8100
2000-09-18,1444.5100
2000-09-19,1459.9000
2000-09-20,1451.3400
2000-09-21,1449.0500
2000-09-22,1448.7200
2000-09-25,1439.0300
2000-09-26,1427.2100
2000-09-27,1426.5700
2000-09-28,1458.2900
2000-09-29,1436.5100
2000-10-09,1402.0300
2000-10-10,1387.0200
2000-10-11,1364.5900
2000-10-12,1329.7800
2000-10-13,1374.1700
2000-10-16,1374.6200
2000-10-17,1349.9700
