Wind,,,,,,,,,,,,
时间区间,2006-10-08:2020-03-06,2006-10-08:2020-03-06,2004-05-24:2020-03-06,2006-10-08:2020-03-06,1999-01-04:2020-03-06,1997-06-20:2020-03-06,2006-10-08:2020-03-06,2006-10-08:2020-03-06,2006-10-08:2020-03-06,2007-12-14:2020-03-06,2007-12-14:2020-03-06,2007-12-14:2020-03-06
频率,日,日,日,日,日,日,日,日,日,日,日,日
指标名称,SHIBOR1M,SHIBOR3M,IBO001,SHIBOR6M,R007,B0,SHIBORO/N,SHIBOR1W,SHIBOR2W,国债到期收益率:6个月,国债到期收益率:1年,国债到期收益率:2年
2007-09-03,2.9081,3.2832,1.8289,3.3906,2.4612,2.4713,1.8197,2.4963,2.7768,0.0000,0.0000,0.0000
2007-09-04,2.9625,3.2864,1.8828,3.3937,2.1780,2.1805,1.8860,2.2348,2.7740,0.0000,0.0000,0.0000
2007-09-05,3.0903,3.2915,1.8201,3.4013,2.3618,2.3678,1.8122,2.3683,2.9631,0.0000,0.0000,0.0000
2007-09-06,3.2956,3.3000,1.8173,3.4066,2.4748,2.4389,1.8198,2.4385,3.2259,0.0000,0.0000,0.0000
2007-09-07,3.4738,3.3280,2.0160,3.4179,2.8528,2.8629,2.0446,2.8066,3.5218,0.0000,0.0000,0.0000
2007-09-10,3.8531,3.3473,2.2894,3.4312,3.6843,3.6806,2.2581,3.6100,3.9319,0.0000,0.0000,0.0000
2007-09-11,4.1363,3.3556,2.8119,3.4417,3.8060,3.7952,2.8184,3.8512,4.1002,0.0000,0.0000,0.0000
2007-09-12,4.2871,3.3629,2.9030,3.4520,3.8437,3.8536,2.8864,3.8910,4.1430,0.0000,0.0000,0.0000
2007-09-13,4.4456,3.3723,3.0700,3.4648,4.0301,4.0235,3.0194,4.0208,4.1600,0.0000,0.0000,0.0000
2007-09-14,4.6451,3.3918,4.0111,3.4795,5.7243,5.7197,4.0206,5.7509,5.8736,0.0000,0.0000,0.0000
2007-09-17,5.3337,3.4666,3.4275,3.5463,5.9300,5.9355,3.2914,5.9463,6.0105,0.0000,0.0000,0.0000
2007-09-18,5.8717,3.5073,3.1582,3.5820,5.9080,5.9073,3.1432,5.9535,6.0355,0.0000,0.0000,0.0000
2007-09-19,6.3635,3.5266,3.2577,3.6116,6.5187,6.5363,3.2635,6.4762,6.2860,0.0000,0.0000,0.0000
2007-09-20,7.0789,3.6236,3.7295,3.6321,6.7564,6.7563,3.7760,6.7893,7.8072,0.0000,0.0000,0.0000
2007-09-21,7.2733,3.7448,4.2301,3.6464,6.8409,6.8536,4.2018,6.9608,7.0872,0.0000,0.0000,0.0000
2007-09-24,7.1055,3.8113,3.8071,3.6628,6.9545,6.9665,3.8090,6.9561,6.9652,0.0000,0.0000,0.0000
2007-09-25,7.1711,3.8395,3.9074,3.6786,7.1017,7.1038,3.7234,7.0296,7.5808,0.0000,0.0000,0.0000
2007-09-26,7.0256,3.8553,3.8598,3.6869,4.8691,4.8728,3.9055,4.8686,5.8982,0.0000,0.0000,0.0000
2007-09-27,6.6504,3.8642,2.6762,3.6927,3.2895,3.2877,2.6627,3.3056,5.2718,0.0000,0.0000,0.0000
2007-09-28,3.4495,3.8557,2.0615,3.6962,2.0226,2.0232,2.1150,2.0380,2.2460,0.0000,0.0000,0.0000
2007-09-29,3.1827,3.8588,1.9884,3.7085,1.9642,1.9584,2.0026,1.9525,2.0104,0.0000,0.0000,0.0000
2007-09-30,3.1453,3.8534,1.9908,3.7144,1.9867,1.9859,1.9925,1.9878,2.0326,0.0000,0.0000,0.0000
2007-10-08,3.1782,3.8482,1.9683,3.7212,2.0062,2.0045,1.9981,2.0299,2.0573,0.0000,0.0000,0.0000
2007-10-09,3.2978,3.8508,1.9787,3.7293,2.0523,2.0493,1.9948,2.0418,2.1040,0.0000,0.0000,0.0000
2007-10-10,3.3180,3.8567,1.9014,3.7529,2.0843,2.0807,1.8974,2.0736,2.1522,0.0000,0.0000,0.0000
2007-10-11,3.3874,3.8640,1.9213,3.7653,2.1100,2.1052,1.9194,2.1003,2.1832,0.0000,0.0000,0.0000
2007-10-12,3.4038,3.8691,1.9150,3.7812,2.2243,2.2215,1.9120,2.2317,2.3091,0.0000,0.0000,0.0000
2007-10-15,3.5668,3.8707,1.9046,3.8006,2.3079,2.3081,1.8986,2.3043,2.3533,0.0000,0.0000,0.0000
2007-10-16,3.7896,3.8721,1.9035,3.8244,2.3007,2.3008,1.9072,2.3111,2.4758,0.0000,0.0000,0.0000
2007-10-17,3.8122,3.8746,1.8824,3.8340,2.3611,2.3602,1.8968,2.3622,5.1491,0.0000,0.0000,0.0000
2007-10-18,4.5113,3.8757,1.9002,3.8515,2.3805,2.3789,1.8977,2.3765,6.1652,0.0000,0.0000,0.0000
2007-10-19,5.4258,3.8804,1.9198,3.8699,2.5194,2.5199,1.9301,2.4901,6.6804,0.0000,0.0000,0.0000
2007-10-22,7.2128,3.8848,1.9491,3.8874,2.9517,2.9480,1.9517,3.1127,8.4609,0.0000,0.0000,0.0000
2007-10-23,7.5053,3.9020,2.2427,3.9023,5.8847,5.9723,2.2086,5.6935,8.9280,0.0000,0.0000,0.0000
2007-10-24,7.4802,3.9231,3.5449,3.9358,7.9983,8.0344,3.5629,7.9953,8.0863,0.0000,0.0000,0.0000
2007-10-25,7.7742,3.9504,5.0753,3.9264,8.8992,8.9000,5.0844,8.7470,7.7273,0.0000,0.0000,0.0000
2007-10-26,8.8271,4.0045,8.5221,3.9294,10.1213,10.1218,8.5282,10.0824,13.5786,0.0000,0.0000,0.0000
2007-10-29,4.0065,4.0081,2.8986,3.9317,2.9816,2.9695,2.9014,2.9373,2.9838,0.0000,0.0000,0.0000
