date	SPX.GI	N225.GI	000001.SH
2007/9/3	11135.4049	1078.797	5321.055
2007/9/4	11253.4618	1069.9578	5294.045
2007/9/5	11122.562	1049.8468	5310.716
2007/9/6	11149.7456	1065.435	5393.66
2007/9/7	10961.3659	1053.7766	5277.176
2007/9/10	10924.3328	1052.091	5355.287
2007/9/11	11080.0254	1053.1659	5113.968
2007/9/12	11075.402	1041.362	5172.627
2007/9/13	11154.7038	1039.8794	5273.592
2007/9/14	11164.8254	1054.9913	5312.182
2007/9/17	11108.838	1052.1368	5421.392
2007/9/18	11438.7761	1034.212	5425.208
2007/9/19	11493.7185	1062.736	5395.265
2007/9/20	11417.2031	1064.2701	5470.065
2007/9/21	11450.7538	1064.3489	5454.674
2007/9/24	11399.5183	1063.7453	5485.013
2007/9/25	11399.5573	1074.6414	5425.88
2007/9/26	11454.2262	1076.393	5338.52
2007/9/27	11509.3927	1095.7102	5409.403
2007/9/28	11467.1139	1092.5973	5552.301
2007/10/8	11660.1863	1094.9271	5692.755
2007/10/9	11774.9365	1100.4301	5715.892
2007/10/10	11746.0245	1101.1371	5771.464
2007/10/11	11680.3031	1120.011	5913.23
2007/10/12	11731.3045	1108.8656	5903.264
2007/10/15	11639.0203	1108.4394	6030.086
2007/10/16	11559.899	1098.2836	6092.057
2007/10/17	11583.3433	1091.7015	6036.281
2007/10/18	11568.0029	1102.9152	5825.282
2007/10/19	11265.8297	1094.7668	5818.047
2007/10/22	11305.7598	1083.6568	5667.332
2007/10/23	11398.4446	1078.9113	5773.387
2007/10/24	11359.7015	1068.2029	5843.109
2007/10/25	11337.8585	1069.0558	5562.394
2007/10/26	11485.4297	1081.3498	5589.631
2007/10/29	11513.8944	1092.6055	5747.997
2007/10/30	11439.7814	1086.2786	5897.193
2007/10/31	11572.6291	1089.5193	5954.765
2007/11/1	11245.7219	1089.2205	5914.285
2007/11/2	11265.6122	1075.1888	5777.809
2007/11/5	11200.48	1058.6349	5634.452
2007/11/6	11337.7176	1058.8909	5536.569
2007/11/7	10989.8275	1044.8516	5601.783
2007/11/8	10950.3147	1037.6589	5330.023
2007/11/9	10780.9299	1024.4229	5315.54
2007/11/12	10670.0805	1019.4664	5187.735
2007/11/13	11005.5344	1022.3635	5158.118
2007/11/14	10929.4976	1035.4946	5412.694
2007/11/15	10783.0603	1026.7485	5365.267
2007/11/16	10843.6897	1018.8444	5316.274
2007/11/19	10649.6261	1006.9038	5269.817
2007/11/20	10690.4924	1027.3556	5293.703
2007/11/21	10505.3496	1002.373	5214.225
2007/11/22	10500.9576	1016.9477	4984.161
2007/11/23	10660.0274	1014.7441	5032.13
2007/11/26	10405.2661	1029.8451	4958.849
2007/11/27	10550.6207	1047.5909	4861.111
2007/11/28	10855.9109	1031.6845	4803.394
2007/11/29	10873.4295	1043.7024	5003.333
2007/11/30	10959.9917	1054.3996	4871.778
2007/12/3	10916.9636	1045.3124	4868.611
2007/12/4	10838.3962	1039.2161	4915.889
2007/12/5	10986.401	1050.3684	5042.654
2007/12/6	11185.2165	1061.5315	5035.073
2007/12/7	11148.1764	1060.7635	5091.756
2007/12/10	11210.979	1055.1023	5161.919
2007/12/11	10904.6137	1058.2776	5175.076
2007/12/12	10948.2894	1057.9817	5095.543
2007/12/13	10949.9347	1021.1222	4958.043
2007/12/14	10802.4973	1014.9748	5007.911
2007/12/17	10669.2961	993.3256	4876.761
2007/12/18	10730.623	992.7843	4836.174
2007/12/19	10708.3194	977.1184	4941.784
2007/12/20	10753.6378	977.1442	5043.535
2007/12/21	10921.4691	992.4373	5101.779
2007/12/24	10971.2232	979.7435	5234.262
2007/12/25	10963.1423	998.554	5201.181
2007/12/26	10977.5483	1005.9434	5233.351
2007/12/27	10789.1643	994.8483	5308.889
2007/12/28	10799.7781	980.6776	5261.563
2008/1/2	10563.6891	999.6899	5272.814
2008/1/3	10531.7069	1017.3244	5319.861
2008/1/4	10273.702	978.8299	5361.574
2008/1/7	10294.9205	968.2742	5393.343
2008/1/8	10119.332	968.5974	5386.531
2008/1/9	10247.6161	973.5888	5435.807
2008/1/10	10340.7126	951.903	5456.541
2008/1/11	10181.4925	934.7411	5484.677
2008/1/14	10277.1598	940.4136	5497.901
2008/1/15	10005.5351	936.9906	5443.791
2008/1/16	9944.4398	917.1588	5290.606
2008/1/17	9672.0621	933.7185	5151.626
2008/1/18	9617.0363	942.4568	5180.514
2008/1/21	9620.6144	904.9113	4914.435
2008/1/22	9508.4638	861.3797	4559.751
2008/1/23	9684.771	868.0655	4703.047
2008/1/24	9774.5197	885.792	4717.734
