,收盘价
,close
日期,中证500
Date,000905.SH
2008-01-02,5123.9340
2008-01-03,5230.7490
2008-01-04,5243.0320
2008-01-07,5347.8060
2008-01-08,5200.5520
2008-01-09,5356.4820
2008-01-10,5382.3260
2008-01-11,5376.7970
2008-01-14,5445.1020
2008-01-15,5487.0880
2008-01-16,5412.9110
2008-01-17,5270.9560
2008-01-18,5317.4480
2008-01-21,5097.2260
2008-01-22,4661.8260
2008-01-23,4912.0580
2008-01-24,5080.9260
2008-01-25,5096.6900
2008-01-28,4740.5010
2008-01-29,4840.6360
2008-01-30,4851.4260
2008-01-31,4663.4150
2008-02-01,4456.9270
2008-02-04,4820.3870
2008-02-05,4838.9950
2008-02-13,4813.5810
2008-02-14,4910.3580
2008-02-15,4886.0160
2008-02-18,5043.1440
2008-02-19,5133.3610
2008-02-20,5089.4390
2008-02-21,5153.6010
2008-02-22,5029.1980
2008-02-25,4869.6540
2008-02-26,4868.8140
2008-02-27,4977.3350
2008-02-28,4989.4120
2008-02-29,5057.6170
2008-03-03,5227.7320
2008-03-04,5192.5930
2008-03-05,5214.2380
2008-03-06,5223.8200
2008-03-07,5115.9160
2008-03-10,4948.3530
2008-03-11,5015.9320
2008-03-12,4881.0300
2008-03-13,4688.6790
2008-03-14,4662.3160
2008-03-17,4302.6140
2008-03-18,3986.3190
2008-03-19,4176.4860
2008-03-20,4347.7430
2008-03-21,4405.8560
2008-03-24,4314.5810
2008-03-25,4367.3410
2008-03-26,4352.0530
2008-03-27,4119.7850
2008-03-28,4241.4520
2008-03-31,4044.0980
2008-04-01,3704.2730
2008-04-02,3500.5220
2008-04-03,3588.7620
2008-04-07,3822.3710
2008-04-08,3908.8020
2008-04-09,3695.3060
2008-04-10,3803.4560
2008-04-11,3862.3630
2008-04-14,3607.2180
2008-04-15,3723.2670
2008-04-16,3633.6750
2008-04-17,3511.9140
2008-04-18,3338.2740
2008-04-21,3314.5060
2008-04-22,3266.3830
2008-04-23,3409.7740
2008-04-24,3723.0710
2008-04-25,3756.3300
2008-04-28,3729.5620
2008-04-29,3759.5450
2008-04-30,3903.1780
2008-05-05,4040.1590
2008-05-06,4024.9900
2008-05-07,3850.2260
2008-05-08,3985.1970
2008-05-09,3986.2400
2008-05-12,4069.1450
2008-05-13,4078.8770
2008-05-14,4168.4860
2008-05-15,4131.2520
2008-05-16,4071.9100
2008-05-19,4070.0490
2008-05-20,3813.9350
2008-05-21,3908.7720
2008-05-22,3871.5530
2008-05-23,3829.6450
2008-05-26,3728.7510
2008-05-27,3743.5390
2008-05-28,3847.2580
2008-05-29,3749.2160
2008-05-30,3755.6310
2008-06-02,3788.1530
2008-06-03,3771.0970
2008-06-04,3704.0780
2008-06-05,3657.4870
2008-06-06,3629.9230
2008-06-10,3312.7940
2008-06-11,3226.9230
2008-06-12,3197.5450
2008-06-13,3045.1050
2008-06-16,2977.8180
2008-06-17,2791.2890
2008-06-18,2951.8440
2008-06-19,2702.8010
2008-06-20,2764.2800
2008-06-23,2717.9690
2008-06-24,2806.7740
2008-06-25,2966.8950
2008-06-26,3003.3020
2008-06-27,2792.7050
2008-06-30,2813.7160
2008-07-01,2765.0640
2008-07-02,2811.2250
2008-07-03,2941.5210
2008-07-04,2941.0850
2008-07-07,3094.8450
2008-07-08,3142.3200
2008-07-09,3226.1470
2008-07-10,3152.4890
2008-07-11,3132.7330
2008-07-14,3198.3520
2008-07-15,3106.3260
2008-07-16,2948.5260
2008-07-17,2918.3690
2008-07-18,3015.7980
2008-07-21,3139.5090
2008-07-22,3150.0150
2008-07-23,3122.6870
2008-07-24,3200.7350
2008-07-25,3172.1680
2008-07-28,3215.8460
2008-07-29,3150.0000
2008-07-30,3132.7660
2008-07-31,3017.2170
2008-08-01,3063.8120
2008-08-04,2990.1680
2008-08-05,2897.7250
2008-08-06,2904.1860
2008-08-07,2923.7450
2008-08-08,2711.9640
2008-08-11,2508.5900
2008-08-12,2473.4170
2008-08-13,2472.3000
2008-08-14,2483.6960
2008-08-15,2473.7170
2008-08-18,2289.2960
2008-08-19,2327.0190
2008-08-20,2520.7370
2008-08-21,2431.1010
2008-08-22,2382.5230
2008-08-25,2374.0600
2008-08-26,2244.9930
2008-08-27,2237.8670
2008-08-28,2236.8240
2008-08-29,2307.1580
2008-09-01,2238.0470
2008-09-02,2253.7730
2008-09-03,2237.2800
2008-09-04,2254.6880
2008-09-05,2148.7410
2008-09-08,2039.8890
2008-09-09,2057.5610
2008-09-10,2072.8080
2008-09-11,2034.2470
2008-09-12,2038.6600
2008-09-16,1993.4610
2008-09-17,1956.0350
2008-09-18,1899.3230
2008-09-19,2086.8260
2008-09-22,2182.7920
2008-09-23,2042.1970
2008-09-24,2088.5490
2008-09-25,2138.0650
2008-09-26,2136.0010
2008-10-06,2054.0420
2008-10-07,2046.1910
2008-10-08,1995.6100
2008-10-09,1969.8150
2008-10-10,1837.4040
2008-10-13,1872.9470
2008-10-14,1816.3200
2008-10-15,1806.7910
2008-10-16,1704.5650
2008-10-17,1726.4000
2008-10-20,1786.5640
2008-10-21,1782.6640
2008-10-22,1748.8400
2008-10-23,1766.5900
2008-10-24,1741.1810
2008-10-27,1604.7580
2008-10-28,1642.0550
2008-10-29,1576.9310
2008-10-30,1590.2260
2008-10-31,1562.0220
2008-11-03,1539.7950
2008-11-04,1513.4950
2008-11-05,1563.3690
2008-11-06,1536.5980
2008-11-07,1561.2210
2008-11-10,1676.2770
2008-11-11,1662.8480
2008-11-12,1704.2260
2008-11-13,1784.4970
2008-11-14,1867.4850
2008-11-17,1959.0720
2008-11-18,1816.2850
2008-11-19,1944.3270
2008-11-20,1948.6810
2008-11-21,1921.0400
2008-11-24,1842.3440
2008-11-25,1827.6420
2008-11-26,1834.7740
2008-11-27,1861.5180
2008-11-28,1841.4500
2008-12-01,1919.4750
2008-12-02,1957.3220
2008-12-03,2039.9270
2008-12-04,2037.7230
2008-12-05,2098.6560
2008-12-08,2190.5320
2008-12-09,2134.5800
2008-12-10,2195.7430
2008-12-11,2127.1830
2008-12-12,2031.9920
2008-12-15,2073.0290
2008-12-16,2110.2440
2008-12-17,2136.3090
2008-12-18,2175.3570
2008-12-19,2194.9940
2008-12-22,2193.4750
2008-12-23,2054.5350
2008-12-24,2010.1040
2008-12-25,2003.4880
2008-12-26,1983.7570
2008-12-29,1984.7550
2008-12-30,1971.4660
2008-12-31,1939.4330
2009-01-05,2020.2430
2009-01-06,2091.8920
2009-01-07,2104.9220
2009-01-08,2052.3000
2009-01-09,2107.7660
2009-01-12,2137.8410
2009-01-13,2081.6720
2009-01-14,2160.0640
2009-01-15,2181.0610
2009-01-16,2195.6340
2009-01-19,2192.8070
2009-01-20,2214.8390
