,中证800,,,,,,,,,,
,000906.SH,,,,,,,,,,
日期,前收盘价,开盘价,最高价,最低价,收盘价,成交量,成交额,涨跌,涨跌幅,复权因子,换手率
Date,pre_close,open,high,low,close,volume,amt,chg,pct_chg,adjfactor,turn
2007-01-04,1948.9010,1976.0220,2026.9300,1958.8270,1967.6210,13876209055.0000,101057000000.0000,18.7200,0.9605,1.000000,
2007-01-05,1967.6210,1954.6690,1984.9160,1938.6120,1983.6010,12216645886.0000,84957191964.0000,15.9800,0.8121,1.000000,
2007-01-08,1983.6010,1984.1130,2047.5710,1983.6910,2047.5710,12434531028.0000,89330115960.0000,63.9700,3.2249,1.000000,
2007-01-09,2047.5710,2050.3870,2109.4180,2046.1060,2108.5220,12431424703.0000,90316076209.0000,60.9510,2.9767,1.000000,
2007-01-10,2108.5220,2117.0000,2162.3260,2102.7400,2162.3260,13024112017.0000,95132226553.0000,53.8040,2.5517,1.000000,
2007-01-11,2162.3260,2164.5230,2203.4370,2139.2320,2147.1170,14007632679.0000,100161000000.0000,-15.2090,-0.7034,1.000000,
2007-01-12,2147.1170,2132.6790,2165.5120,2075.5590,2086.4950,12052325258.0000,87493312790.0000,-60.6220,-2.8234,1.000000,
2007-01-15,2086.4950,2084.3470,2197.1350,2084.3470,2197.1350,10515625472.0000,80703233748.0000,110.6400,5.3027,1.000000,4.1168
2007-01-16,2197.1350,2202.0850,2263.7930,2202.0850,2263.7290,12443867300.0000,98532483072.0000,66.5940,3.0309,1.000000,4.8670
2007-01-17,2263.7290,2270.9110,2302.6570,2183.0600,2225.4990,14784842700.0000,118384093322.0000,-38.2300,-1.6888,1.000000,5.7822
2007-01-18,2225.4990,2210.5970,2249.9990,2166.3860,2244.0620,12959806700.0000,102103183178.0000,18.5630,0.8341,1.000000,5.0649
2007-01-19,2244.0620,2249.9100,2321.3610,2249.9100,2321.3590,14125919100.0000,110490784325.0000,77.2970,3.4445,1.000000,5.5008
2007-01-22,2321.3590,2348.6600,2417.3020,2348.6600,2417.0120,15748219500.0000,122798853434.0000,95.6530,4.1206,1.000000,6.1326
2007-01-23,2417.0120,2431.7360,2437.3090,2339.5820,2430.2220,16341779200.0000,132412965317.0000,13.2100,0.5465,1.000000,6.3490
2007-01-24,2430.2220,2430.2470,2472.5520,2410.7250,2456.7440,13547492000.0000,114206207057.0000,26.5220,1.0913,1.000000,5.2596
