,纳斯达克指数
,IXIC.GI
日期,收盘价
Date,close
2000-01-04,3901.6900
2000-01-05,3877.5400
2000-01-06,3727.1300
2000-01-07,3882.6200
2000-01-10,4049.6700
2000-01-11,3921.1900
2000-01-12,3850.0200
2000-01-13,3957.2100
2000-01-14,4064.2700
2000-01-17,4064.2700
2000-01-18,4130.8100
2000-01-19,4151.2900
2000-01-20,4189.5100
2000-01-21,4235.4000
2000-01-24,4096.0800
2000-01-25,4167.4100
2000-01-26,4069.9100
2000-01-27,4039.5600
2000-01-28,3887.0700
2000-02-14,4418.5500
2000-02-15,4420.7700
2000-02-16,4427.6500
2000-02-17,4548.9200
2000-02-18,4411.7400
2000-02-21,4411.7400
2000-02-22,4382.1200
2000-02-23,4550.3300
2000-02-24,4617.6500
2000-02-25,4590.5000
2000-02-28,4577.8500
2000-02-29,4696.6900
2000-03-01,4784.0800
2000-03-02,4754.5100
2000-03-03,4914.7900
2000-03-06,4904.8500
2000-03-07,4847.8400
2000-03-08,4897.1700
2000-03-09,5046.8600
2000-03-10,5048.6200
2000-03-13,4907.2400
2000-03-14,4706.6300
2000-03-15,4582.6200
2000-03-16,4717.3900
2000-03-17,4798.1300
2000-03-20,4610.0000
2000-03-21,4711.6800
2000-03-22,4864.7500
2000-03-23,4940.6100
2000-03-24,4963.0300
2000-03-27,4958.5600
2000-03-28,4833.8900
2000-03-29,4644.6700
2000-03-30,4457.8900
2000-03-31,4572.8300
2000-04-03,4223.6800
2000-04-04,4148.8900
2000-04-05,4169.2200
2000-04-06,4267.5600
2000-04-07,4446.4500
2000-04-10,4188.2000
2000-04-11,4055.9000
2000-04-12,3769.6300
2000-04-13,3676.7800
2000-04-14,3321.2900
2000-04-17,3539.1600
2000-04-18,3793.5700
2000-04-19,3706.4100
2000-04-20,3643.8800
2000-04-21,3643.8800
2000-04-24,3482.4800
2000-04-25,3711.2300
2000-04-26,3630.0900
2000-04-27,3774.0300
2000-04-28,3860.6600
2000-05-08,3669.3800
2000-05-09,3585.0100
2000-05-10,3384.7300
2000-05-11,3499.5800
2000-05-12,3529.0600
2000-05-15,3607.6500
2000-05-16,3717.5700
2000-05-17,3644.9600
2000-05-18,3538.7100
2000-05-19,3390.4000
2000-05-22,3364.2100
2000-05-23,3164.5500
2000-05-24,3270.6100
2000-05-25,3205.3500
2000-05-26,3205.1100
