,收盘价
,close
日期,中证800
Date,000906.SH
2008-01-02,5278.9210
2008-01-03,5329.9610
2008-01-04,5380.7800
2008-01-07,5459.6040
2008-01-08,5406.7690
2008-01-09,5505.8830
2008-01-10,5557.0860
2008-01-11,5577.2020
2008-01-14,5616.7460
2008-01-15,5597.5020
2008-01-16,5432.3620
2008-01-17,5293.2760
2008-01-18,5341.1580
2008-01-21,5084.9790
2008-01-22,4688.0960
2008-01-23,4913.0820
2008-01-24,4988.5400
2008-01-25,5031.2140
2008-01-28,4686.9060
2008-01-29,4731.0950
2008-01-30,4692.8830
2008-01-31,4583.5320
2008-02-01,4501.3120
2008-02-04,4872.5210
2008-02-05,4854.6730
2008-02-13,4767.3880
2008-02-14,4837.9790
2008-02-15,4780.9360
2008-02-18,4890.5190
2008-02-19,4994.9490
2008-02-20,4898.7860
2008-02-21,4887.4020
2008-02-22,4726.0480
2008-02-25,4550.3760
2008-02-26,4546.9070
2008-02-27,4666.4970
2008-02-28,4655.4130
2008-02-29,4710.7840
2008-03-03,4837.4910
2008-03-04,4737.3700
2008-03-05,4709.2360
2008-03-06,4754.8670
2008-03-07,4682.5090
2008-03-10,4499.1750
2008-03-11,4521.2070
2008-03-12,4390.2530
2008-03-13,4263.0170
2008-03-14,4225.5200
2008-03-17,3998.7230
2008-03-18,3774.5270
2008-03-19,3912.3120
2008-03-20,4036.7660
2008-03-21,4077.1900
2008-03-24,3917.6080
2008-03-25,3966.6870
2008-03-26,3970.0300
2008-03-27,3791.7740
2008-03-28,3949.0310
2008-03-31,3807.5920
2008-04-01,3573.3980
2008-04-02,3502.3320
2008-04-03,3600.8960
2008-04-07,3802.3990
2008-04-08,3856.0940
2008-04-09,3652.8990
2008-04-10,3727.8140
2008-04-11,3762.9970
2008-04-14,3516.3900
2008-04-15,3577.8030
2008-04-16,3489.3430
2008-04-17,3379.9240
2008-04-18,3254.0870
2008-04-21,3245.1280
2008-04-22,3256.9790
2008-04-23,3409.8260
2008-04-24,3725.7920
2008-04-25,3755.0870
2008-04-28,3692.0870
2008-04-29,3735.5560
2008-04-30,3907.5960
2008-05-05,4011.9980
2008-05-06,3973.9680
2008-05-07,3789.4830
2008-05-08,3898.9150
2008-05-09,3863.4340
2008-05-12,3901.4510
2008-05-13,3862.3330
2008-05-14,3977.7520
2008-05-15,3948.2760
2008-05-16,3926.2060
2008-05-19,3908.7330
2008-05-20,3696.1010
2008-05-21,3772.4880
2008-05-22,3709.0130
2008-05-23,3671.8680
2008-05-26,3560.3340
2008-05-27,3576.6730
2008-05-28,3676.5050
2008-05-29,3581.5130
2008-05-30,3606.4960
2008-06-02,3624.7280
2008-06-03,3611.9800
2008-06-04,3545.4910
2008-06-05,3508.5150
2008-06-06,3485.0430
2008-06-10,3197.5540
2008-06-11,3127.7270
2008-06-12,3078.2750
2008-06-13,2963.7040
2008-06-16,2928.3930
2008-06-17,2803.3350
2008-06-18,2953.0310
2008-06-19,2730.3580
2008-06-20,2802.9320
2008-06-23,2746.6900
2008-06-24,2813.8290
2008-06-25,2939.4370
2008-06-26,2956.0880
2008-06-27,2782.9940
2008-06-30,2768.7730
2008-07-01,2685.2720
2008-07-02,2695.5790
2008-07-03,2769.9840
2008-07-04,2755.1090
2008-07-07,2897.2280
2008-07-08,2921.8560
2008-07-09,3028.0730
2008-07-10,2980.5630
2008-07-11,2960.6280
2008-07-14,2991.5260
2008-07-15,2876.0860
2008-07-16,2759.5660
2008-07-17,2731.7770
2008-07-18,2828.2180
2008-07-21,2928.5520
2008-07-22,2925.7060
2008-07-23,2903.3000
2008-07-24,2993.1780
2008-07-25,2957.3360
2008-07-28,2983.2290
2008-07-29,2926.4020
2008-07-30,2906.1780
2008-07-31,2820.4230
2008-08-01,2857.8800
2008-08-04,2789.6940
2008-08-05,2715.7860
2008-08-06,2731.7560
2008-08-07,2734.7300
2008-08-08,2590.2600
2008-08-11,2443.0390
2008-08-12,2425.9490
