,万得全A,,,,,,,,,,
,881001.WI,,,,,,,,,,
日期,前收盘价,开盘价,最高价,最低价,收盘价,成交量,成交额,涨跌,涨跌幅,复权因子,换手率
Date,pre_close,open,high,low,close,volume,amt,chg,pct_chg,adjfactor,turn
2007/1/4,1449.5112,1449.5112,1500.6626,1449.5112,1461.2643,16498836800,1.16758E+11,11.7531,0.8108,1,5.1207
2007/1/5,1461.2643,1461.2643,1474.478,1440.5717,1474.4288,14478360000,97951080000,13.1645,0.9009,1,4.5051
2007/1/8,1474.4288,1474.4288,1522.0564,1474.4111,1522.0564,15282361600,1.05623E+11,47.6276,3.2302,1,4.7331
2007/1/9,1522.0564,1522.0564,1565.2524,1521.032,1564.7432,15597289600,1.08249E+11,42.6868,2.8045,1,4.9196
2007/1/10,1564.7432,1564.7432,1603.9949,1560.381,1603.9025,16632195200,1.17962E+11,39.1593,2.5026,1,5.1186
2007/1/11,1603.9025,1603.9025,1635.4847,1589.0994,1595.1082,18343177600,1.26112E+11,-8.7943,-0.5483,1,5.6233
2007/1/12,1595.1082,1595.1082,1608.5006,1543.6719,1550.6074,15708843200,1.09439E+11,-44.5008,-2.7898,1,4.8614
2007/1/15,1550.6074,1550.6074,1630.5848,1548.8744,1630.5848,13575251200,1.00413E+11,79.9774,5.1578,1,4.1873
2007/1/16,1630.5848,1630.5848,1678.8066,1630.5848,1678.5862,16270072000,1.23326E+11,48.0014,2.9438,1,4.9993
2007/1/17,1678.5862,1678.5862,1708.4004,1623.704,1653.6207,19226734400,1.46955E+11,-24.9655,-1.4873,1,5.8876
2007/1/18,1653.6207,1653.6207,1672.5852,1612.7006,1668.848,16817193600,1.2613E+11,15.2273,0.9208,1,5.1624
2007/1/19,1668.848,1668.848,1725.1941,1668.8479,1725.1941,18540699200,1.38051E+11,56.3461,3.3763,1,5.6569
2007/1/22,1725.1941,1725.1941,1796.2345,1725.194,1796.1405,20681891200,1.54675E+11,70.9464,4.1124,1,6.308
2007/1/23,1796.1405,1796.1405,1811.5706,1741.6084,1806.541,21123932800,1.62204E+11,10.4005,0.579,1,6.4623
2007/1/24,1806.541,1806.541,1836.9576,1792.4867,1825.2535,18026630400,1.4251E+11,18.7125,1.0358,1,5.4849
2007/1/25,1825.2535,1825.2535,1825.2535,1756.7125,1758.4696,17406955200,1.37741E+11,-66.7839,-3.6589,1,5.3166
2007/1/26,1758.4696,1758.4696,1796.9805,1685.1184,1789.0554,16153662400,1.24999E+11,30.5858,1.7393,1,4.9601
2007/1/29,1789.0554,1789.0554,1839.144,1789.0554,1838.6967,16638107200,1.33305E+11,49.6413,2.7747,1,5.0163
2007/1/30,1838.6967,1838.6967,1853.0276,1810.9664,1825.1704,16417120000,1.30114E+11,-13.5263,-0.7356,1,4.9508
2007/1/31,1825.1704,1825.1704,1825.1704,1707.4567,1719.2134,16761134400,1.28774E+11,-105.957,-5.8053,1,5.0628
2007/2/1,1719.2134,1719.2134,1738.3151,1667.705,1728.2465,13841571200,1.03887E+11,9.0331,0.5254,1,4.186
