代码	简称	日期	前收盘价(元)	开盘价(元)	最高价(元)	最低价(元)	收盘价(元)	成交量(股)	成交金额(元)	涨跌(元)	涨跌幅(%)	均价(元)	单位净值(元)	累计净值(元)
510050.SH	华夏上证50ETF	2007/9/3	4.06	4.08	4.16	4.08	4.16	87119179	360169653	0.1	2.3399	4.1342	4.152	4.988
510050.SH	华夏上证50ETF	2007/9/4	4.16	4.16	4.16	4.08	4.09	72517761	298354836	-0.07	-1.6606	4.1142	4.09	4.914
510050.SH	华夏上证50ETF	2007/9/5	4.09	4.09	4.12	4	4.08	94648987	382649505	0	-0.0734	4.0428	4.078	4.9
510050.SH	华夏上证50ETF	2007/9/6	4.08	4.09	4.15	4.08	4.13	71327502	294135331	0.04	1.0531	4.1237	4.136	4.969
510050.SH	华夏上证50ETF	2007/9/7	4.13	4.11	4.12	4.05	4.06	73237590	298739913	-0.07	-1.5996	4.0791	4.055	4.873
510050.SH	华夏上证50ETF	2007/9/10	4.06	4	4.11	3.97	4.11	119362391	482982439	0.05	1.2315	4.0464	4.112	4.94
510050.SH	华夏上证50ETF	2007/9/11	4.11	4.08	4.13	3.9	3.95	107892111	438519350	-0.16	-3.7956	4.0644	3.939	4.735
510050.SH	华夏上证50ETF	2007/9/12	3.95	3.96	4.01	3.9	3.97	117651208	464494293	0.01	0.3035	3.9481	3.972	4.774
510050.SH	华夏上证50ETF	2007/9/13	3.97	3.97	4.07	3.97	4.06	73675018	295663782	0.09	2.2693	4.0131	4.061	4.88
510050.SH	华夏上证50ETF	2007/9/14	4.06	4.06	4.08	4.01	4.07	71087818	288245607	0.01	0.3205	4.0548	4.089	4.913
510050.SH	华夏上证50ETF	2007/9/17	4.07	4.06	4.18	4.06	4.17	97435305	402984770	0.11	2.6051	4.1359	4.167	5.005
510050.SH	华夏上证50ETF	2007/9/18	4.17	4.18	4.18	4.08	4.14	52647067	217606224	-0.04	-0.8383	4.1333	4.13	4.961
510050.SH	华夏上证50ETF	2007/9/19	4.14	4.14	4.16	4.06	4.09	46014504	188411237	-0.05	-1.2077	4.0946	4.095	4.92
510050.SH	华夏上证50ETF	2007/9/20	4.09	4.09	4.16	4.09	4.14	43849966	181012569	0.05	1.1736	4.128	4.141	4.974
510050.SH	华夏上证50ETF	2007/9/21	4.14	4.13	4.13	4.05	4.09	42797238	174723342	-0.04	-1.0391	4.0826	4.11	4.938
510050.SH	华夏上证50ETF	2007/9/24	4.09	4.09	4.15	4.05	4.14	41802198	172197902	0.04	1.0745	4.1194	4.154	4.99
510050.SH	华夏上证50ETF	2007/9/25	4.14	4.13	4.17	4.08	4.11	31059927	128108020	-0.03	-0.7248	4.1245	4.107	4.934
510050.SH	华夏上证50ETF	2007/9/26	4.11	4.07	4.13	4.05	4.05	30396980	124012430	-0.06	-1.4602	4.0798	4.048	4.864
510050.SH	华夏上证50ETF	2007/9/27	4.05	4.05	4.11	4.04	4.1	20745703	84482215	0.05	1.3337	4.0723	4.096	4.921
510050.SH	华夏上证50ETF	2007/9/28	4.1	4.13	4.25	4.13	4.24	100209545	421072870	0.14	3.4121	4.2019	4.203	5.048
510050.SH	华夏上证50ETF	2007/10/8	4.24	4.33	4.33	4.21	4.29	88601005	379603894	0.05	1.2255	4.2844	4.281	5.14
510050.SH	华夏上证50ETF	2007/10/9	4.29	4.29	4.33	4.26	4.31	34469866	147818889	0.02	0.4424	4.2884	4.307	5.171
510050.SH	华夏上证50ETF	2007/10/10	4.31	4.33	4.43	4.32	4.35	57552045	251853299	0.04	0.8809	4.3761	4.327	5.195
510050.SH	华夏上证50ETF	2007/10/11	4.35	4.35	4.48	4.34	4.47	49033811	216367367	0.12	2.8263	4.4126	4.458	5.35
510050.SH	华夏上证50ETF	2007/10/12	4.47	4.49	4.5	4.3	4.46	150223021	662466941	-0.02	-0.4022	4.4099	4.452	5.343
510050.SH	华夏上证50ETF	2007/10/15	4.46	4.46	4.59	4.44	4.59	68520562	308431421	0.13	2.9168	4.5013	4.56	5.471
510050.SH	华夏上证50ETF	2007/10/16	4.59	4.59	4.67	4.56	4.6	95045223	437898990	0.01	0.2616	4.6073	4.585	5.5
510050.SH	华夏上证50ETF	2007/10/17	4.6	4.57	4.61	4.53	4.55	64101853	292253115	-0.05	-1.1524	4.5592	4.529	5.434
510050.SH	华夏上证50ETF	2007/10/18	4.55	4.53	4.54	4.35	4.38	145095622	640566576	-0.17	-3.6516	4.4148	4.358	5.231
510050.SH	华夏上证50ETF	2007/10/19	4.38	4.41	4.46	4.34	4.35	81694733	357475429	-0.03	-0.7306	4.3757	4.347	5.218
510050.SH	华夏上证50ETF	2007/10/22	4.35	4.28	4.34	4.24	4.25	60702817	259599859	-0.09	-2.1389	4.2766	4.251	5.105
510050.SH	华夏上证50ETF	2007/10/23	4.25	4.25	4.36	4.23	4.36	94020048	402665753	0.11	2.4677	4.2828	4.337	5.207
510050.SH	华夏上证50ETF	2007/10/24	4.36	4.37	4.44	4.34	4.4	84028837	369890155	0.04	1.0092	4.4019	4.39	5.269
510050.SH	华夏上证50ETF	2007/10/25	4.4	4.36	4.41	4.22	4.24	145280652	621626797	-0.16	-3.7239	4.2788	4.215	5.062
510050.SH	华夏上证50ETF	2007/10/26	4.24	4.21	4.31	4.18	4.31	67093077	285255836	0.07	1.6038	4.2516	4.276	5.134
510050.SH	华夏上证50ETF	2007/10/29	4.31	4.32	4.4	4.32	4.39	53649662	234226124	0.08	1.9499	4.3658	4.369	5.244
510050.SH	华夏上证50ETF	2007/10/30	4.39	4.4	4.44	4.35	4.44	46873568	206077744	0.05	1.1384	4.3965	4.412	5.295
510050.SH	华夏上证50ETF	2007/10/31	4.44	4.5	4.5	4.4	4.45	94123257	418048965	0	0.0675	4.4415	4.454	5.345
510050.SH	华夏上证50ETF	2007/11/1	4.45	4.44	4.46	4.41	4.41	54271353	240515223	-0.04	-0.8549	4.4317	4.401	5.282
510050.SH	华夏上证50ETF	2007/11/2	4.41	4.34	4.36	4.29	4.31	81779196	352852556	-0.1	-2.1784	4.3147	4.298	5.16
510050.SH	华夏上证50ETF	2007/11/5	4.31	4.32	4.32	4.21	4.23	76608431	325416973	-0.08	-1.9253	4.2478	4.218	5.066
510050.SH	华夏上证50ETF	2007/11/6	4.23	4.22	4.26	4.18	4.2	64559485	271861142	-0.02	-0.5676	4.211	4.179	5.019
510050.SH	华夏上证50ETF	2007/11/7	4.2	4.23	4.24	4.14	4.23	85094175	355651980	0.02	0.5233	4.1795	4.214	5.061
