,万得全A
,881001.WI
日期,收盘价
Date,close
2007-09-03,3890.7791
2007-09-04,3854.9917
2007-09-05,3864.7783
2007-09-06,3903.8408
2007-09-07,3819.8743
2007-09-10,3883.7395
2007-09-11,3685.7551
2007-09-12,3732.8308
2007-09-13,3823.9597
2007-09-14,3864.2683
2007-09-17,3940.2336
2007-09-18,3939.0930
2007-09-19,3894.1179
2007-09-20,3944.2568
2007-09-21,3920.7708
2007-09-24,3943.9827
2007-09-25,3905.9512
2007-09-26,3843.9109
2007-09-27,3887.5906
2007-09-28,3988.5950
2007-10-08,4025.3083
2007-10-09,4048.6301
2007-10-10,4052.4971
2007-10-11,4072.5320
2007-10-12,4038.0120
2007-10-15,4076.0029
2007-10-16,4116.0049
2007-10-17,4085.3821
2007-10-18,3957.9939
2007-10-19,3958.9578
2007-10-22,3857.7544
2007-10-23,3889.3213
2007-10-24,3890.6287
2007-10-25,3691.9280
2007-10-26,3707.1091
2007-10-29,3776.8704
2007-10-30,3844.3313
2007-10-31,3930.7908
2007-11-01,3859.4529
2007-11-02,3766.8074
2007-11-05,3724.0388
2007-11-06,3706.2698
2007-11-07,3721.2622
2007-11-08,3555.1064
2007-11-09,3515.4631
2007-11-12,3465.0200
2007-11-13,3448.8660
2007-11-14,3587.6594
2007-11-15,3542.9624
2007-11-16,3510.6895
2007-11-19,3528.0784
2007-11-20,3579.1338
2007-11-21,3531.5063
2007-11-22,3374.0239
2007-11-23,3431.5769
2007-11-26,3396.4741
2007-11-27,3343.5522
2007-11-28,3307.9307
2007-11-29,3425.2043
2007-11-30,3359.5952
2007-12-03,3387.4402
2007-12-04,3418.7214
2007-12-05,3504.5640
2007-12-06,3511.4290
2007-12-07,3563.8667
2007-12-10,3639.5730
2007-12-11,3654.2751
2007-12-12,3628.3059
2007-12-13,3502.9712
2007-12-14,3570.6567
2007-12-17,3512.1592
2007-12-18,3491.5034
2007-12-19,3571.4500
2007-12-20,3629.8254
2007-12-21,3678.5232
2007-12-24,3749.9006
2007-12-25,3763.8784
2007-12-26,3812.0542
2007-12-27,3874.9688
2007-12-28,3858.7986
2008-01-02,3919.5815
2008-01-03,3962.2092
2008-01-04,3996.6794
2008-01-07,4054.1118
2008-01-08,4008.6497
2008-01-09,4085.1641
2008-01-10,4119.8052
2008-01-11,4132.4399
2008-01-14,4165.5830
2008-01-15,4160.5225
2008-01-16,4050.7422
2008-01-17,3952.1436
2008-01-18,3987.5918
2008-01-21,3802.3901
2008-01-22,3508.2954
2008-01-23,3670.3450
2008-01-24,3731.3491
2008-01-25,3760.3601
2008-01-28,3504.6350
2008-01-29,3537.8093
2008-01-30,3516.3533
2008-01-31,3430.9375
2008-02-01,3357.7458
2008-02-04,3629.1541
2008-02-05,3622.1616
2008-02-13,3562.4019
2008-02-14,3616.6833
2008-02-15,3577.8462
2008-02-18,3661.7639
2008-02-19,3738.1223
2008-02-20,3670.7041
2008-02-21,3663.2463
2008-02-22,3548.2529
2008-02-25,3422.1687
2008-02-26,3425.9983
2008-02-27,3513.6812
2008-02-28,3505.6294
2008-02-29,3548.4241
2008-03-03,3639.8948
2008-03-04,3567.6526
2008-03-05,3552.1099
2008-03-06,3591.2888
2008-03-07,3532.4460
2008-03-10,3398.1785
2008-03-11,3413.3816
2008-03-12,3315.5903
2008-03-13,3219.6904
2008-03-14,3190.1929
2008-03-17,3019.1152
2008-03-18,2853.3008
2008-03-19,2953.2070
2008-03-20,3042.5901
2008-03-21,3068.4519
2008-03-24,2952.5198
2008-03-25,2987.0046
2008-03-26,2989.1145
2008-03-27,2855.0786
2008-03-28,2971.6147
2008-03-31,2870.1191
2008-04-01,2700.4099
2008-04-02,2650.0974
2008-04-03,2720.6165
2008-04-07,2868.7786
2008-04-08,2906.4688
2008-04-09,2753.9321
2008-04-10,2809.6975
2008-04-11,2837.7561
2008-04-14,2655.0835
2008-04-15,2703.7449
2008-04-16,2638.0576
2008-04-17,2562.3445
2008-04-18,2465.6050
2008-04-21,2461.7563
2008-04-22,2468.0205
2008-04-23,2581.8821
2008-04-24,2816.5305
2008-04-25,2833.7178
2008-04-28,2789.9221
2008-04-29,2820.2170
2008-04-30,2946.6946
2008-05-05,3019.1013
2008-05-06,2992.9209
2008-05-07,2854.8279
2008-05-08,2930.9792
2008-05-09,2906.2090
2008-05-12,2936.9211
2008-05-13,2909.4436
2008-05-14,2991.9451
2008-05-15,2970.1807
2008-05-16,2951.6108
2008-05-19,2936.8828
2008-05-20,2780.8669
2008-05-21,2836.7874
2008-05-22,2789.8723
2008-05-23,2767.6406
2008-05-26,2683.1226
2008-05-27,2695.8599
2008-05-28,2770.3989
2008-05-29,2702.9722
2008-05-30,2724.3125
2008-06-02,2742.6458
2008-06-03,2730.2151
2008-06-04,2682.0149
2008-06-05,2659.4475
