,标普500,,,日经225,,,上证综指
,SPX.GI,,,N225.GI,,,000001.SH
日期,收盘价,,日期,收盘价,,日期,收盘价
Date,close,,Date,close,,Date,close
2007-09-03,11135.4049,,2007-09-03,1078.7970,,2007-09-03,5321.0550
2007-09-04,11253.4618,,2007-09-04,1069.9578,,2007-09-04,5294.0450
2007-09-05,11122.5620,,2007-09-05,1049.8468,,2007-09-05,5310.7160
2007-09-06,11149.7456,,2007-09-06,1065.4350,,2007-09-06,5393.6600
2007-09-07,10961.3659,,2007-09-07,1053.7766,,2007-09-07,5277.1760
2007-09-10,10924.3328,,2007-09-10,1052.0910,,2007-09-10,5355.2870
2007-09-11,11080.0254,,2007-09-11,1053.1659,,2007-09-11,5113.9680
2007-09-12,11075.4020,,2007-09-12,1041.3620,,2007-09-12,5172.6270
2007-09-13,11154.7038,,2007-09-13,1039.8794,,2007-09-13,5273.5920
2007-09-14,11164.8254,,2007-09-14,1054.9913,,2007-09-14,5312.1820
2007-09-17,11108.8380,,2007-09-17,1052.1368,,2007-09-17,5421.3920
2007-09-18,11438.7761,,2007-09-18,1034.2120,,2007-09-18,5425.2080
2007-09-19,11493.7185,,2007-09-19,1062.7360,,2007-09-19,5395.2650
2007-09-20,11417.2031,,2007-09-20,1064.2701,,2007-09-20,5470.0650
2007-09-21,11450.7538,,2007-09-21,1064.3489,,2007-09-21,5454.6740
2007-09-24,11399.5183,,2007-09-24,1063.7453,,2007-09-24,5485.0130
2007-09-25,11399.5573,,2007-09-25,1074.6414,,2007-09-25,5425.8800
2007-09-26,11454.2262,,2007-09-26,1076.3930,,2007-09-26,5338.5200
2007-09-27,11509.3927,,2007-09-27,1095.7102,,2007-09-27,5409.4030
2007-09-28,11467.1139,,2007-09-28,1092.5973,,2007-09-28,5552.3010
2007-10-08,11660.1863,,2007-10-08,1094.9271,,2007-10-08,5692.7550
2007-10-09,11774.9365,,2007-10-09,1100.4301,,2007-10-09,5715.8920
2007-10-10,11746.0245,,2007-10-10,1101.1371,,2007-10-10,5771.4640
2007-10-11,11680.3031,,2007-10-11,1120.0110,,2007-10-11,5913.2300
2007-10-12,11731.3045,,2007-10-12,1108.8656,,2007-10-12,5903.2640
2007-10-15,11639.0203,,2007-10-15,1108.4394,,2007-10-15,6030.0860
2007-10-16,11559.8990,,2007-10-16,1098.2836,,2007-10-16,6092.0570
2007-10-17,11583.3433,,2007-10-17,1091.7015,,2007-10-17,6036.2810
2007-10-18,11568.0029,,2007-10-18,1102.9152,,2007-10-18,5825.2820
2007-10-19,11265.8297,,2007-10-19,1094.7668,,2007-10-19,5818.0470
2007-10-22,11305.7598,,2007-10-22,1083.6568,,2007-10-22,5667.3320
2007-10-23,11398.4446,,2007-10-23,1078.9113,,2007-10-23,5773.3870
2007-10-24,11359.7015,,2007-10-24,1068.2029,,2007-10-24,5843.1090
2007-10-25,11337.8585,,2007-10-25,1069.0558,,2007-10-25,5562.3940
2007-10-26,11485.4297,,2007-10-26,1081.3498,,2007-10-26,5589.6310
2007-10-29,11513.8944,,2007-10-29,1092.6055,,2007-10-29,5747.9970
