date,DJI_GI,IXIC_GI,SPX_GI,TY_CBT,hs300
2002-02-04,9687.09,1855.53,1094.44,106.8906,1511.327
2002-02-05,9685.43,1838.52,1090.02,106.9531,1518.28
2002-02-06,9653.39,1812.71,1083.51,106.75,1485.802
2002-02-07,9625.44,1782.11,1080.17,106.5625,1515.394
2002-02-08,9744.24,1818.88,1096.22,106.9531,1506.615
2002-02-25,10145.71,1769.88,1109.43,107.2344,1530.284
2002-02-26,10115.26,1766.86,1109.38,106.75,1531.43
2002-02-27,10127.58,1751.88,1109.89,107.5313,1538.319
2002-02-28,10106.13,1731.49,1106.73,105.9219,1524.701
2002-03-01,10368.86,1802.74,1131.78,105.1719,1502.54
2002-03-04,10586.82,1859.32,1153.84,104.9844,1526.804
2002-03-05,10433.41,1866.29,1146.14,104.9531,1560.079
2002-03-06,10574.29,1890.4,1162.77,104.7656,1569.208
2002-03-07,10525.37,1881.63,1157.54,103.5313,1613.001
2002-03-08,10572.49,1929.67,1164.31,102.8281,1640.256
2002-03-11,10611.24,1929.49,1168.26,102.8281,1664.094
2002-03-12,10632.35,1897.12,1165.58,102.9531,1643.692
2002-03-13,10501.85,1862.03,1154.09,103.3594,1623.432
2002-03-14,10517.14,1854.14,1153.04,102.2969,1665.151
2002-03-15,10607.23,1868.3,1166.16,102.6563,1620.976
2002-03-18,10577.75,1877.06,1165.55,103.0,1623.884
2002-03-19,10635.25,1880.87,1170.29,102.8281,1665.357
2002-03-20,10501.57,1832.87,1151.85,102.2969,1682.51
2002-03-21,10479.84,1868.83,1153.59,102.5,1685.017
2002-03-22,10427.67,1851.39,1148.7,102.4531,1669.694
2002-03-25,10281.67,1812.49,1131.87,102.3594,1675.289
2002-03-26,10353.36,1824.17,1138.49,102.8438,1649.484
2002-03-27,10426.91,1826.75,1144.58,102.9219,1654.231
2002-03-28,10403.94,1845.35,1147.39,102.4531,1650.673
2002-03-29,10403.94,1845.35,1147.39,102.4531,1603.905
2002-04-01,10362.7,1862.62,1146.54,102.4688,1608.506
