,沪深300,,,,,,,,,,
,000300.SH,,,,,,,,,,
日期,前收盘价,开盘价,最高价,最低价,收盘价,成交量,成交额,涨跌,涨跌幅,复权因子,换手率
Date,pre_close,open,high,low,close,volume,amt,chg,pct_chg,adjfactor,turn
2007-01-04,2041.0470,2073.2500,2139.4940,2054.2420,2067.0920,10671970700.0000,82381072591.0000,26.0450,1.2761,1.000000,6.1711
2007-01-05,2067.0920,2051.1520,2083.4020,2030.7620,2072.8830,9274344700.0000,68026060235.0000,5.7910,0.2802,1.000000,5.3358
2007-01-08,2072.8830,2072.0050,2131.7370,2071.7210,2131.5560,8476790900.0000,66303936118.0000,58.6730,2.8305,1.000000,4.8749
2007-01-09,2131.5560,2137.4850,2201.3600,2128.0640,2200.0860,8157762900.0000,65456192715.0000,68.5300,3.2150,1.000000,4.6914
2007-01-10,2200.0860,2210.7570,2255.9660,2194.7700,2255.9660,8490497900.0000,68822624817.0000,55.8800,2.5399,1.000000,4.8807
2007-01-11,2255.9660,2257.0100,2289.9500,2224.3660,2231.6290,8627654800.0000,68730011815.0000,-24.3370,-1.0788,1.000000,4.9587
2007-01-12,2231.6290,2215.8590,2249.5430,2159.7750,2173.7470,7652572000.0000,61742830353.0000,-57.8820,-2.5937,1.000000,4.3963
2007-01-15,2173.7470,2170.9430,2287.6840,2170.9430,2287.3420,6640309700.0000,57043453710.0000,113.5950,5.2258,1.000000,3.8144
2007-01-16,2287.3420,2310.9630,2354.4310,2297.2380,2353.8740,7636425400.0000,67843434156.0000,66.5320,2.9087,1.000000,4.3866
2007-01-17,2353.8740,2360.4100,2393.2180,2266.3440,2308.9310,8901554000.0000,80008901771.0000,-44.9430,-1.9093,1.000000,5.1133
2007-01-18,2308.9310,2292.1730,2325.5280,2240.2140,2317.0950,7864860600.0000,69894972894.0000,8.1640,0.3536,1.000000,4.5160
2007-01-19,2317.0950,2320.8730,2396.0930,2320.8730,2396.0930,8333402200.0000,73538873546.0000,78.9980,3.4094,1.000000,4.7712
2007-01-22,2396.0930,2424.8150,2491.7110,2424.8150,2491.3130,9389299300.0000,81870488111.0000,95.2200,3.9740,1.000000,5.3757
2007-01-23,2491.3130,2508.2650,2516.5930,2415.1110,2508.1300,10233761600.0000,92812872354.0000,16.8170,0.6750,1.000000,5.8444
2007-01-24,2508.1300,2508.5230,2556.0990,2489.9320,2536.4280,8443369700.0000,80277493989.0000,28.2980,1.1283,1.000000,4.8170
2007-01-25,2536.4280,2512.4590,2529.4320,2449.0510,2452.8310,8105515100.0000,77241720261.0000,-83.5970,-3.2959,1.000000,4.6229
2007-01-26,2452.8310,2415.7460,2524.2430,2356.9820,2512.9220,7865400800.0000,73275675715.0000,60.0910,2.4499,1.000000,4.4859
2007-01-29,2512.9220,2529.9430,2582.4050,2521.5030,2576.9170,8545208500.0000,79544859355.0000,63.9950,2.5466,1.000000,4.8092
2007-01-30,2576.9170,2586.5230,2599.4520,2531.7760,2551.8840,7821152800.0000,73485012977.0000,-25.0330,-0.9714,1.000000,4.4017
2007-01-31,2551.8840,2544.3000,2548.1750,2367.6700,2385.3350,8090913700.0000,71945032667.0000,-166.5490,-6.5265,1.000000,4.5535
2007-02-01,2385.3350,2350.5960,2410.4220,2310.5690,2395.1720,6507809500.0000,57578101142.0000,9.8370,0.4124,1.000000,3.6532
2007-02-02,2395.1720,2397.0580,2403.6190,2293.2770,2298.0030,5937715400.0000,53535112102.0000,-97.1690,-4.0569,1.000000,3.3332
2007-02-05,2298.0030,2282.7700,2304.3180,2247.9290,2271.7970,4758750600.0000,42358010146.0000,-26.2060,-1.1404,1.000000,2.6710
2007-02-06,2271.7970,2271.3720,2316.7020,2198.9010,2316.0400,6701064800.0000,61206502550.0000,44.2430,1.9475,1.000000,3.7612
2007-02-07,2316.0400,2330.4280,2390.8670,2330.4280,2369.7870,7010639000.0000,66203343445.0000,53.7470,2.3206,1.000000,3.9350
2007-02-08,2369.7870,2376.6290,2415.9590,2354.6970,2410.6010,6265654000.0000,58367504085.0000,40.8140,1.7223,1.000000,3.5163
2007-02-09,2410.6010,2412.6440,2417.6430,2376.0220,2397.2450,5551553200.0000,51302933998.0000,-13.3560,-0.5541,1.000000,3.1141
2007-02-12,2397.2450,2397.8490,2485.7590,2396.7860,2485.3920,5499232000.0000,51709436972.0000,88.1470,3.6770,1.000000,3.0846
2007-02-13,2485.3920,2498.3450,2526.2270,2489.6600,2522.6300,5152886200.0000,48227864862.0000,37.2380,1.4983,1.000000,2.8898
2007-02-14,2522.6300,2527.5600,2594.6610,2520.5330,2588.3490,6277727900.0000,58462267865.0000,65.7190,2.6052,1.000000,3.5159
2007-02-15,2588.3490,2607.6260,2669.1830,2607.6260,2668.6330,7163132900.0000,67415688269.0000,80.2840,3.1017,1.000000,4.0118
2007-02-16,2668.6330,2692.6700,2717.5700,2660.4860,2676.7350,7590878500.0000,71597577014.0000,8.1020,0.3036,1.000000,4.2480
2007-02-26,2676.7350,2679.2650,2710.3010,2641.1200,2707.6760,7453156000.0000,70981612303.0000,30.9410,1.1559,1.000000,4.1630
2007-02-27,2707.6760,2717.8120,2719.5190,2454.9180,2457.4920,10773680700.0000,101102755625.0000,-250.1840,-9.2398,1.000000,6.0177
2007-02-28,2457.4920,2413.4220,2554.2260,2413.3270,2544.5710,8282257100.0000,77148246135.0000,87.0790,3.5434,1.000000,4.6243
2007-03-01,2544.5710,2550.2600,2550.3280,2439.5030,2473.5440,8215965500.0000,74299578237.0000,-71.0270,-2.7913,1.000000,4.5872
2007-03-02,2473.5440,2468.6720,2523.8560,2455.8190,2508.7290,5794680500.0000,54222099462.0000,35.1850,1.4225,1.000000,3.2313
2007-03-05,2508.7290,2503.8160,2541.8180,2409.7150,2475.6060,6851748800.0000,63071754494.0000,-33.1230,-1.3203,1.000000,3.8204
2007-03-06,2475.6060,2467.7410,2539.4530,2452.1420,2520.2930,5263315300.0000,50261314068.0000,44.6870,1.8051,1.000000,2.9329
2007-03-07,2520.2930,2532.9750,2594.4580,2532.1480,2589.4360,5972094900.0000,57623239829.0000,69.1430,2.7435,1.000000,3.3202
2007-03-08,2589.4360,2597.7150,2628.4480,2565.1090,2627.6300,5538655900.0000,53907621543.0000,38.1940,1.4750,1.000000,3.0792
2007-03-09,2627.6300,2632.8000,2643.8090,2587.4880,2611.3930,7041132600.0000,67933045137.0000,-16.2370,-0.6179,1.000000,3.9096
2007-03-12,2611.3930,2612.9570,2619.4980,2563.3670,2616.1720,6246892100.0000,60438197476.0000,4.7790,0.1830,1.000000,3.4678
2007-03-13,2616.1720,2620.7150,2641.6260,2605.2340,2640.1690,6578890800.0000,62061191754.0000,23.9970,0.9173,1.000000,3.6516
2007-03-14,2640.1690,2609.9270,2625.1230,2546.6460,2597.3570,6895208800.0000,66581939459.0000,-42.8120,-1.6216,1.000000,3.8272
2007-03-15,2597.3570,2595.5430,2645.8770,2595.5430,2645.5460,6377848900.0000,63266778524.0000,48.1890,1.8553,1.000000,3.5333
2007-03-16,2645.5460,2656.0090,2665.3900,2576.3160,2604.2260,7533185000.0000,74777024467.0000,-41.3200,-1.5619,1.000000,4.1731
2007-03-19,2604.2260,2533.7110,2674.7980,2523.3020,2659.4130,7398356600.0000,72943661095.0000,55.1870,2.1191,1.000000,4.0985
2007-03-20,2659.4130,2669.6350,2674.4700,2645.2500,2672.7710,6124972600.0000,61741482419.0000,13.3580,0.5023,1.000000,3.3930
2007-03-21,2672.7710,2685.9250,2702.9980,2666.8910,2702.5970,6461295700.0000,68369315608.0000,29.8260,1.1159,1.000000,3.5765
2007-03-22,2702.5970,2720.4590,2740.2800,2702.4140,2711.3220,8330807400.0000,86036277732.0000,8.7250,0.3228,1.000000,4.6103
2007-03-23,2711.3220,2710.3620,2726.6200,2653.7940,2716.2660,7391191900.0000,76304490420.0000,4.9440,0.1823,1.000000,4.0897
2007-03-26,2716.2660,2725.3970,2764.3980,2713.9260,2764.0340,7607477300.0000,77796101199.0000,47.7680,1.7586,1.000000,4.2094
2007-03-27,2764.0340,2770.3480,2789.9670,2753.0170,2784.0230,8072512700.0000,84018394699.0000,19.9890,0.7232,1.000000,4.4659
2007-03-28,2784.0230,2787.2390,2806.0770,2689.1140,2797.6490,11220997000.0000,112146081864.0000,13.6260,0.4894,1.000000,6.2012
2007-03-29,2797.6490,2802.3770,2830.0820,2782.9300,2783.3050,10656723900.0000,113233436267.0000,-14.3440,-0.5127,1.000000,5.8791
2007-03-30,2783.3050,2768.7100,2801.9450,2753.1470,2781.7840,6295070600.0000,66536969255.0000,-1.5210,-0.0546,1.000000,3.4717
2007-04-02,2781.7840,2793.9570,2850.1520,2793.9570,2850.1070,6924788300.0000,76680507856.0000,68.3230,2.4561,1.000000,3.7773
2007-04-03,2850.1070,2861.8980,2888.3290,2852.5710,2888.1150,7701449500.0000,87091853081.0000,38.0080,1.3336,1.000000,4.1890
2007-04-04,2888.1150,2893.3770,2924.6760,2875.6850,2911.8210,7550665800.0000,88456071223.0000,23.7060,0.8208,1.000000,4.1045
2007-04-05,2911.8210,2909.5000,2950.6590,2895.4160,2945.0450,7413899100.0000,85195598382.0000,33.2240,1.1410,1.000000,4.0101
2007-04-06,2945.0450,2921.7270,2977.4590,2911.0520,2972.0080,7910232800.0000,93049572083.0000,26.9630,0.9155,1.000000,4.2657
2007-04-09,2972.0080,2988.3770,3043.0600,2988.3770,3038.1720,9090170500.0000,106218793512.0000,66.1640,2.2262,1.000000,4.9020
2007-04-10,3038.1720,3053.3550,3081.6170,2993.1140,3081.5680,10088834200.0000,119702215987.0000,43.3960,1.4284,1.000000,5.4241
2007-04-11,3081.5680,3092.0850,3121.5370,3059.2830,3121.3190,10166993500.0000,124218923127.0000,39.7510,1.2900,1.000000,5.4651
2007-04-12,3121.3190,3129.2470,3176.6900,3114.9110,3176.4370,9253518600.0000,118434112266.0000,55.1180,1.7659,1.000000,4.9701
2007-04-13,3176.4370,3182.7770,3211.6070,3154.1060,3169.2330,10065311600.0000,129728360741.0000,-7.2040,-0.2268,1.000000,5.4025
2007-04-16,3169.2330,3177.3030,3256.5660,3177.2910,3255.9980,8792894000.0000,112706594206.0000,86.7650,2.7377,1.000000,4.7037
2007-04-17,3255.9980,3273.4300,3288.1660,3182.9510,3283.6040,10530710500.0000,133823425844.0000,27.6060,0.8479,1.000000,5.6330
2007-04-18,3283.6040,3294.2130,3311.9810,3244.9340,3304.5010,10142670700.0000,129242252479.0000,20.8970,0.6364,1.000000,5.4109
2007-04-19,3304.5010,3297.9460,3297.9460,3065.2820,3150.3030,11527000900.0000,143830321586.0000,-154.1980,-4.6663,1.000000,6.0805
2007-04-20,3150.3030,3165.6740,3297.4100,3165.6740,3289.2820,9446986900.0000,118620474966.0000,138.9790,4.4116,1.000000,4.9499
2007-04-23,3289.2820,3330.7980,3433.5190,3330.7980,3431.3180,10995899100.0000,137583437710.0000,142.0360,4.3181,1.000000,5.7615
2007-04-24,3431.3180,3462.4800,3490.8140,3418.3010,3445.1960,11464300600.0000,149412298461.0000,13.8780,0.4045,1.000000,5.9931
2007-04-25,3445.1960,3432.0240,3467.8280,3376.0840,3448.2810,10058066900.0000,129089171524.0000,3.0850,0.0895,1.000000,5.2580
2007-04-26,3448.2810,3465.1120,3493.9090,3438.8790,3493.5810,7899769000.0000,107807045971.0000,45.3000,1.3137,1.000000,4.1258
2007-04-27,3493.5810,3499.9410,3503.8850,3436.0020,3470.5230,8069863600.0000,113722809802.0000,-23.0580,-0.6600,1.000000,4.2109
2007-04-30,3470.5230,3487.3580,3568.6840,3478.9280,3558.7090,9430286400.0000,138081371497.0000,88.1860,2.5410,1.000000,4.8955
2007-05-08,3558.7090,3643.8130,3699.3670,3618.7820,3686.0300,10678873200.0000,153677419723.0000,127.3210,3.5777,1.000000,5.5235
2007-05-09,3686.0300,3699.2960,3717.3400,3556.6150,3701.2770,14064835800.0000,189060473164.0000,15.2470,0.4136,1.000000,7.2730
2007-05-10,3701.2770,3703.5250,3742.2310,3671.8130,3724.5100,11541992200.0000,153159215466.0000,23.2330,0.6277,1.000000,5.9682
2007-05-11,3724.5100,3696.2940,3715.3660,3629.7130,3702.6120,8896176100.0000,133773914663.0000,-21.8980,-0.5879,1.000000,4.5940
2007-05-14,3702.6120,3648.2690,3769.1590,3620.8610,3734.4200,9109804900.0000,137156727352.0000,31.8080,0.8591,1.000000,4.6548
2007-05-15,3734.4200,3739.0490,3751.6420,3600.2070,3604.6360,9357856800.0000,138220188526.0000,-129.7840,-3.4753,1.000000,4.7807
