,万得全A,,,,,,,,,,
,881001.WI,,,,,,,,,,
日期,前收盘价,开盘价,最高价,最低价,收盘价,成交量,成交额,涨跌,涨跌幅,复权因子,换手率
Date,pre_close,open,high,low,close,volume,amt,chg,pct_chg,adjfactor,turn
2007-01-04,1449.5112,1449.5112,1500.6626,1449.5112,1461.2643,16498836800.0000,116757568000.0000,11.7531,0.8108,1.000000,5.1207
2007-01-05,1461.2643,1461.2643,1474.4780,1440.5717,1474.4288,14478360000.0000,97951080000.0000,13.1645,0.9009,1.000000,4.5051
2007-01-08,1474.4288,1474.4288,1522.0564,1474.4111,1522.0564,15282361600.0000,105623096000.0000,47.6276,3.2302,1.000000,4.7331
2007-01-09,1522.0564,1522.0564,1565.2524,1521.0320,1564.7432,15597289600.0000,108249272000.0000,42.6868,2.8045,1.000000,4.9196
2007-01-10,1564.7432,1564.7432,1603.9949,1560.3810,1603.9025,16632195200.0000,117962248000.0000,39.1593,2.5026,1.000000,5.1186
2007-01-11,1603.9025,1603.9025,1635.4847,1589.0994,1595.1082,18343177600.0000,126112344000.0000,-8.7943,-0.5483,1.000000,5.6233
2007-01-12,1595.1082,1595.1082,1608.5006,1543.6719,1550.6074,15708843200.0000,109439160000.0000,-44.5008,-2.7898,1.000000,4.8614
2007-01-15,1550.6074,1550.6074,1630.5848,1548.8744,1630.5848,13575251200.0000,100412544000.0000,79.9774,5.1578,1.000000,4.1873
2007-01-16,1630.5848,1630.5848,1678.8066,1630.5848,1678.5862,16270072000.0000,123326416000.0000,48.0014,2.9438,1.000000,4.9993
2007-01-17,1678.5862,1678.5862,1708.4004,1623.7040,1653.6207,19226734400.0000,146955152000.0000,-24.9655,-1.4873,1.000000,5.8876
2007-01-18,1653.6207,1653.6207,1672.5852,1612.7006,1668.8480,16817193600.0000,126130288000.0000,15.2273,0.9208,1.000000,5.1624
2007-01-19,1668.8480,1668.8480,1725.1941,1668.8479,1725.1941,18540699200.0000,138051360000.0000,56.3461,3.3763,1.000000,5.6569
2007-01-22,1725.1941,1725.1941,1796.2345,1725.1940,1796.1405,20681891200.0000,154675248000.0000,70.9464,4.1124,1.000000,6.3080
2007-01-23,1796.1405,1796.1405,1811.5706,1741.6084,1806.5410,21123932800.0000,162204176000.0000,10.4005,0.5790,1.000000,6.4623
2007-01-24,1806.5410,1806.5410,1836.9576,1792.4867,1825.2535,18026630400.0000,142510336000.0000,18.7125,1.0358,1.000000,5.4849
2007-01-25,1825.2535,1825.2535,1825.2535,1756.7125,1758.4696,17406955200.0000,137741440000.0000,-66.7839,-3.6589,1.000000,5.3166
2007-01-26,1758.4696,1758.4696,1796.9805,1685.1184,1789.0554,16153662400.0000,124999120000.0000,30.5858,1.7393,1.000000,4.9601
2007-01-29,1789.0554,1789.0554,1839.1440,1789.0554,1838.6967,16638107200.0000,133305232000.0000,49.6413,2.7747,1.000000,5.0163
2007-01-30,1838.6967,1838.6967,1853.0276,1810.9664,1825.1704,16417120000.0000,130113504000.0000,-13.5263,-0.7356,1.000000,4.9508
2007-01-31,1825.1704,1825.1704,1825.1704,1707.4567,1719.2134,16761134400.0000,128774416000.0000,-105.9570,-5.8053,1.000000,5.0628
