,富时中国A50期货
,CN.SG
日期,收盘价
Date,close
2006-01-04,
2006-01-05,
2006-01-06,
2006-01-09,
2006-01-10,
2006-01-11,
2006-01-12,
2006-01-13,
2006-01-16,
2006-01-17,
2006-01-18,
2006-01-19,
2006-01-20,
2006-01-23,
2006-01-24,
2006-01-25,
2006-02-06,
2006-02-07,
2006-02-08,
2006-02-09,
2006-02-10,
2006-02-13,
2006-02-14,
2006-02-15,
2006-02-16,
2006-02-17,
2006-02-20,
2006-02-21,
2006-02-22,
2006-02-23,
2006-02-24,
2006-02-27,
2006-02-28,
2006-03-01,
2006-03-02,
2006-03-03,
2006-03-06,
2006-03-07,
2006-03-08,
2006-03-09,
2006-03-10,
2006-03-13,
2006-03-14,
2006-03-15,
2006-03-16,
2006-03-17,
2006-03-20,
2006-03-21,
2006-03-22,
2006-03-23,
2006-03-24,
2006-03-27,
2006-03-28,
2006-03-29,
2006-03-30,
2006-03-31,
2006-04-03,
2006-04-04,
2006-04-05,
2006-04-06,
2006-04-07,
2006-04-10,
2006-04-11,
2006-04-12,
2006-04-13,
2006-04-14,
2006-04-17,
2006-04-18,
2006-04-19,
2006-04-20,
2006-04-21,
2006-04-24,
2006-04-25,
2006-04-26,
2006-04-27,
2006-04-28,
2006-05-08,
2006-05-09,
2006-05-10,
2006-05-11,
2006-05-12,
2006-05-15,
2006-05-16,
2006-05-17,
2006-05-18,
2006-05-19,
2006-05-22,
2006-05-23,
2006-05-24,
2006-05-25,
2006-05-26,
2006-05-29,
2006-05-30,
2006-05-31,
2006-06-01,
2006-06-02,
2006-06-05,
2006-06-06,
2006-06-07,
2006-06-08,
2006-06-09,
2006-06-12,
2006-06-13,
2006-06-14,
2006-06-15,
2006-06-16,
2006-06-19,
2006-06-20,
2006-06-21,
2006-06-22,
2006-06-23,
2006-06-26,
2006-06-27,
2006-06-28,
2006-06-29,
2006-06-30,
2006-07-03,
2006-07-04,
2006-07-05,
2006-07-06,
2006-07-07,
2006-07-10,
2006-07-11,
2006-07-12,
2006-07-13,
2006-07-14,
2006-07-17,
2006-07-18,
2006-07-19,
2006-07-20,
2006-07-21,
2006-07-24,
2006-07-25,
2006-07-26,
2006-07-27,
2006-07-28,
2006-07-31,
2006-08-01,
2006-08-02,
2006-08-03,
2006-08-04,
2006-08-07,
2006-08-08,
2006-08-09,
2006-08-10,
2006-08-11,
2006-08-14,
2006-08-15,
2006-08-16,
2006-08-17,
2006-08-18,
2006-08-21,
2006-08-22,
2006-08-23,
2006-08-24,
2006-08-25,
2006-08-28,
2006-08-29,
2006-08-30,
2006-08-31,
2006-09-01,
2006-09-04,
2006-09-05,5134.0000
2006-09-06,5140.0000
2006-09-07,5112.0000
2006-09-08,5119.0000
2006-09-11,5165.0000
2006-09-12,5229.0000
2006-09-13,5263.0000
2006-09-14,5256.0000
2006-09-15,5350.0000
2006-09-18,5372.0000
2006-09-19,5391.0000
2006-09-20,5374.0000
2006-09-21,5438.0000
2006-09-22,5422.0000
2006-09-25,5387.0000
2006-09-26,5319.0000
2006-09-27,5359.0000
2006-09-28,5438.0000
2006-09-29,5495.0000
2006-10-09,5495.0000
2006-10-10,5619.0000
2006-10-11,5619.0000
2006-10-12,5593.0000
2006-10-13,5626.0000
2006-10-16,5573.0000
2006-10-17,5541.0000
2006-10-18,5622.0000
2006-10-19,5628.0000
2006-10-20,5676.0000
2006-10-23,5611.0000
2006-10-24,5717.0000
2006-10-25,5750.0000
2006-10-26,5851.0000
2006-10-27,5816.0000
2006-10-30,5826.0000
2006-10-31,5913.0000
2006-11-01,5961.0000
2006-11-02,5947.0000
2006-11-03,5982.0000
2006-11-06,6119.0000
2006-11-07,6198.0000
2006-11-08,6169.0000
2006-11-09,6287.0000
2006-11-10,6303.0000
2006-11-13,6217.0000
2006-11-14,6277.0000
2006-11-15,6444.0000
2006-11-16,6518.0000
2006-11-17,6635.0000
2006-11-20,6822.0000
2006-11-21,6910.0000
2006-11-22,6965.0000
2006-11-23,7011.0000
2006-11-24,6950.0000
2006-11-27,6932.0000
2006-11-28,6871.0000
2006-11-29,6982.0000
2006-11-30,7188.0000
2006-12-01,7245.0000
2006-12-04,7460.0000
2006-12-05,7544.0000
2006-12-06,7478.0000
2006-12-07,7517.0000
2006-12-08,7377.0000
2006-12-11,7660.0000
2006-12-12,7822.0000
2006-12-13,7778.0000
2006-12-14,7917.0000
2006-12-15,8033.0000
2006-12-18,8309.0000
2006-12-19,8330.0000
2006-12-20,8376.0000
2006-12-21,8325.0000
2006-12-22,8200.0000
2006-12-25,8200.0000
2006-12-26,8511.0000
2006-12-27,8511.0000
2006-12-28,8511.0000
2006-12-29,8511.0000
2007-01-04,8511.0000
2007-01-05,9200.0000
2007-01-08,9461.0000
2007-01-09,
2007-01-10,9880.0000
2007-01-11,9595.0000
2007-01-12,9440.0000
2007-01-15,9899.0000
2007-01-16,9900.0000
2007-01-17,9800.0000
2007-01-18,9880.0000
2007-01-19,10000.0000
2007-01-22,10150.0000
2007-01-23,10400.0000
2007-01-24,
2007-01-25,10950.0000
2007-01-26,10880.0000
2007-01-29,11130.0000
